date,event_name,project_type,project_name,venue_wards,venue_postcodes,schools,wards,postcodes,participant_count,pupil_count,teacher_count,school_count
2023-03-29,Leeds International Piano Competition Concerts for KS2: Crossgates,CLE,Creative Learning S1,['Little London and Woodhouse'],['LS2 3AD'],['Cross Gates Primary School'],['Cross Gates and Whinmoor'],,60.0,60.0,0.0,1
2023-03-29,Leeds International Piano Competition Concerts for KS2: Greenmount,CLE,Creative Learning S1,['Little London and Woodhouse'],['LS2 3AD'],['Greenmount Primary School'],['Beeston and Holbeck'],,14.0,14.0,0.0,1
2023-03-29,Leeds International Piano Competition Concerts for KS2: Holy Rosary,CLE,Creative Learning S1,['Little London and Woodhouse'],['LS2 3AD'],"[""Holy Rosary and St Anne's Catholic Primary School, a Voluntary Academy""]",['Chapel Allerton'],,60.0,60.0,0.0,1
2023-03-29,Leeds International Piano Competition Concerts for KS2: Lady Lane Park,CLE,Creative Learning S1,['Little London and Woodhouse'],['LS2 3AD'],['Lady Lane Park'],,['BD16 4AP'],17.0,17.0,0.0,1
2023-03-29,Leeds International Piano Competition Concerts for KS2: Primrose Lane,CLE,Creative Learning S1,['Little London and Woodhouse'],['LS2 3AD'],['Primrose Lane Primary School'],['Wetherby'],,30.0,30.0,0.0,1
2023-03-29,Leeds International Piano Competition Concerts for KS2: Pudsey Lowtown,CLE,Creative Learning S1,['Little London and Woodhouse'],['LS2 3AD'],['Pudsey Lowtown Primary School'],['Pudsey'],,30.0,30.0,0.0,1
2023-03-29,Leeds International Piano Competition Concerts for KS2: Pudsey Primrose Hill,CLE,Creative Learning S1,['Little London and Woodhouse'],['LS2 3AD'],['Pudsey Primrose Hill Primary School'],['Bramley and Stanningley'],,30.0,30.0,0.0,1
2023-03-29,Leeds International Piano Competition Concerts for KS2: Shire Oak,CLE,Creative Learning S1,['Little London and Woodhouse'],['LS2 3AD'],['Shire Oak VC Primary School'],['Headingley and Hyde Park'],,30.0,30.0,0.0,1
2023-03-29,Leeds International Piano Competition Concerts for KS2: St Joseph's Wetherby,CLE,Creative Learning S1,['Little London and Woodhouse'],['LS2 3AD'],"[""St Joseph's Catholic Primary School, Wetherby""]",['Wetherby'],,118.0,118.0,0.0,1
2023-03-29,Leeds International Piano Competition Concerts for KS2: Beckfield Primary,CLE,Creative Learning S1,['Little London and Woodhouse'],['LS2 3AD'],['Co-op Beckfield'],,,55.0,55.0,0.0,1
2023-03-29,Leeds International Piano Competition Concerts for KS2: Lawns Park,CLE,Creative Learning S1,['Little London and Woodhouse'],['LS2 3AD'],['Lawns Park Primary School'],['Farnley and Wortley'],,30.0,30.0,0.0,1
2023-03-29,Leeds International Piano Competition Concerts for KS2: Pudsey Waterloo,CLE,Creative Learning S1,['Little London and Woodhouse'],['LS2 3AD'],['Pudsey Waterloo Primary'],['Pudsey'],,115.0,115.0,0.0,1
2023-03-31,Waking the Artist at Chapel Allerton Primary,CLE,01 - The Awakening,['Chapel Allerton'],['LS7 3PD'],['Chapel Allerton Primary School'],['Chapel Allerton'],['LS7 3PD'],60.0,60.0,0.0,1
2023-04-16,Waking the Artist at Beechwood Primary School,CLE,01 - The Awakening,['Killingbeck and Seacroft'],['LS14 6QB'],['Beechwood Primary School'],['Killingbeck and Seacroft'],,56.0,56.0,0.0,1
2023-04-17,Under Our Feet (Schools Programme),Produce (Signature),04 - This is a FOREST,,,['Jack Clark School'],['Gipton and Harehills'],,0.0,0.0,0.0,1
2023-04-17,Under Our Feet (Schools Programme),Produce (Signature),04 - This is a FOREST,,,['Manor Wood Primary School'],['Moortown'],,0.0,0.0,0.0,1
2023-04-17,Under Our Feet (Schools Programme),Produce (Signature),04 - This is a FOREST,,,['Manor Wood Primary School'],['Moortown'],,0.0,0.0,0.0,1
2023-04-17,Under Our Feet (Schools Programme),Produce (Signature),04 - This is a FOREST,,,['St Patrick Catholic Primary School'],['Burmantofts and Richmond Hill '],,0.0,0.0,0.0,1
2023-04-17,Under Our Feet (Schools Programme),Produce (Signature),04 - This is a FOREST,,,['Holy Name Catholic Voluntary Academy'],['Weetwood '],,0.0,0.0,0.0,1
2023-04-17,Under Our Feet (Schools Programme),Produce (Signature),04 - This is a FOREST,,,['Hunslet Carr Primary School'],['Hunslet and Riverside'],,0.0,0.0,0.0,1
2023-04-17,Under Our Feet (Schools Programme),Produce (Signature),04 - This is a FOREST,,,['Pudsey Primrose Hill Primary School'],['Bramley and Stanningley'],,0.0,0.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['Cottingley Primary Academy'],['Beeston and Holbeck'],,30.0,30.0,0.0,1
2023-04-17,Under Our Feet (Schools Programme),Produce (Signature),04 - This is a FOREST,,,['Primley Wood Primary School'],['Alwoodley '],,0.0,0.0,0.0,1
2023-04-17,Springbank School sari-making,CLE,12 - My LEEDS 2023,,,['Farsley Springbank Primary School'],['Calverley and Farsley'],,30.0,30.0,0.0,1
2023-04-17,YAMSEN Culture Week,CLE,Creative Learning S2,,,,,,0.0,0.0,0.0,0
2023-04-17,School grant - St Francis Catholic Primary School,CLE,12 - My LEEDS 2023,,,"['St Francis Catholic Primary School, Morley']",['Morley South'],,405.0,405.0,0.0,1
2023-04-17,School grant - Shire Oak CE Primary School,CLE,12 - My LEEDS 2023,,,['Shire Oak VC Primary School'],['Headingley and Hyde Park'],,500.0,500.0,0.0,1
2023-04-17,School grant - Sharp Lane Primary School,CLE,12 - My LEEDS 2023,,,['Sharp Lane Primary School'],['Middleton Park '],,626.0,626.0,0.0,1
2023-04-17,School grant - Rosebank Primary School,CLE,12 - My LEEDS 2023,,,['Rosebank Primary School'],['Little London and Woodhouse'],,240.0,240.0,0.0,1
2023-04-17,School grant - Ralph Thoresby School,CLE,12 - My LEEDS 2023,,,['Ralph Thoresby School'],['Adel and Wharfedale'],['LS16 7RX'],900.0,900.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['The New Bewerley Community Primary School'],['Beeston and Holbeck'],,60.0,60.0,0.0,1
2023-04-17,School grant - Meadowfield Primary School,CLE,12 - My LEEDS 2023,,,['Meadowfield Primary School'],['Temple Newsam '],,480.0,480.0,0.0,1
2023-04-17,Under Our Feet (Schools Programme),Produce (Signature),04 - This is a FOREST,,,['Co-op Academy Woodlands'],['Gipton and Harehills'],,0.0,0.0,0.0,1
2023-04-17,Under Our Feet (Schools Programme),Produce (Signature),04 - This is a FOREST,,,['Aberford Church of England Voluntary Controlled Primary School'],['Harewood'],,0.0,0.0,0.0,1
2023-04-17,Under Our Feet (Schools Programme),Produce (Signature),04 - This is a FOREST,,,['Carr Manor Community School'],['Moortown '],['LS17 5DJ'],0.0,0.0,0.0,1
2023-04-17,School grant - Lighthouse School,CLE,12 - My LEEDS 2023,,,['Lighthouse School Leeds'],['Weetwood '],,183.0,183.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['Co-op Academy Beckfield'],['Pudsey'],,48.0,48.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['Dixons Trinity Chapeltown'],['Chapel Allerton'],,60.0,60.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['East SILC John Jamieson'],['Roundhay'],,6.0,6.0,0.0,1
2023-04-17,Casey Orr Saturday Town School Workshops,CLE,Creative Learning S2,,,,,,0.0,0.0,0.0,0
2023-04-17,Schools Workshop,,07 - Children's Day,,,"[""Holy Rosary and St Anne's Catholic Primary School, a Voluntary Academy""]",['Chapel Allerton'],,28.0,28.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['Spring Bank Primary School'],['Headingley and Hyde Park'],,60.0,60.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['Swillington Primary School'],['Garforth and Swillington'],,30.0,30.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['Westgate Primary School'],['Otley and Yeadon'],,30.0,30.0,0.0,1
2023-04-17,Under Our Feet (Schools Programme),Produce (Signature),04 - This is a FOREST,,,['East SILC John Jamieson'],['Roundhay'],,0.0,0.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['Whitkirk Primary School'],['Bramley and Stanningley'],,60.0,60.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['St Patrick Catholic Primary School'],['Burmantofts and Richmond Hill '],,60.0,60.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['Shire Oak VC Primary School'],['Headingley and Hyde Park'],,30.0,30.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['Cookridge Primary School'],['Weetwood '],['LS16 7DH'],45.0,45.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['Gledhow Primary School'],['Roundhay'],,58.0,58.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['Home learners'],,,8.0,8.0,0.0,1
2023-04-17,Under Our Feet (Schools Programme),Produce (Signature),04 - This is a FOREST,,,['Lawns Park Primary School'],['Farnley and Wortley'],,0.0,0.0,0.0,1
2023-04-17,Under Our Feet (Schools Programme),Produce (Signature),04 - This is a FOREST,,,['Boston Spa Academy'],['Wetherby'],,0.0,0.0,0.0,1
2023-04-17,Under Our Feet (Schools Programme),Produce (Signature),04 - This is a FOREST,,,['Chapel Allerton Primary School'],['Chapel Allerton'],['LS7 3PD'],0.0,0.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['Southroyd Primary and Nursery School'],['Pudsey'],,56.0,56.0,0.0,1
2023-04-17,School grant - Leeds Teaching Hospitals,CLE,12 - My LEEDS 2023,,,['Leeds Teaching Hospitals'],,,100.0,100.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['Armley Park Primary School'],['Armley'],,60.0,60.0,0.0,1
2023-04-17,School grant - Kirkstall Valley Primary School,CLE,12 - My LEEDS 2023,,,['Kirkstall Valley Primary School'],['Kirkstall'],,400.0,400.0,0.0,1
2023-04-17,Adel Primary mural,CLE,12 - My LEEDS 2023,,,['Adel Primary School'],['Adel and Wharfedale'],,31.0,31.0,0.0,1
2023-04-17,Adel St John Primary mural,CLE,12 - My LEEDS 2023,,,['Adel St John the Baptist Church of England Primary School'],['Adel and Wharfedale'],,30.0,30.0,0.0,1
2023-04-17,School grant - Lawnswood School,CLE,12 - My LEEDS 2023,,,['Lawnswood School'],['Weetwood '],['LS16 5AG'],400.0,400.0,0.0,1
2023-04-17,Calverley Parkside School sari-making,CLE,12 - My LEEDS 2023,,,['Calverley Parkside Primary School'],['Calverley and Farsley'],,30.0,30.0,0.0,1
2023-04-17,Cookridge Primary mural,CLE,12 - My LEEDS 2023,,,['Cookridge Primary School'],['Weetwood '],['LS16 7DH'],4.0,4.0,0.0,1
2023-04-17,Holy Name Primary mural,CLE,12 - My LEEDS 2023,,,['Holy Name Catholic Voluntary Academy'],['Weetwood '],,30.0,30.0,0.0,1
2023-04-17,Holy Trinity Primary mural,CLE,12 - My LEEDS 2023,,,"['Holy Trinity Church of England Academy, Rothwell']",['Rothwell'],['LS26 0NB'],41.0,41.0,0.0,1
2023-04-17,Ireland Wood Primary mural,CLE,12 - My LEEDS 2023,,,['Ireland Wood Primary School'],['Weetwood '],,46.0,46.0,0.0,1
2023-04-17,Iveson Primary mural,CLE,12 - My LEEDS 2023,,,['Iveson Primary School'],['Weetwood '],,30.0,30.0,0.0,1
2023-04-17,Ralph Thoresby High mural,CLE,12 - My LEEDS 2023,,,['Iveson Primary School'],['Weetwood '],,12.0,12.0,0.0,1
2023-04-17,School grant - Aberford CE Primary School,CLE,12 - My LEEDS 2023,,,['Aberford Church of England Voluntary Controlled Primary School'],['Harewood'],,108.0,108.0,0.0,1
2023-04-17,School grant - Adel Primary School,CLE,12 - My LEEDS 2023,,,['Adel Primary School'],['Adel and Wharfedale'],,330.0,330.0,0.0,1
2023-04-17,Bramhope Primary mural,CLE,12 - My LEEDS 2023,,,['Bramhope Primary School'],['Adel and Wharfedale'],,48.0,48.0,0.0,1
2023-04-17,School grant - Home Education,CLE,12 - My LEEDS 2023,,,['Home learners'],,,45.0,45.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,['Allerton CofE Primary School'],['Alwoodley'],,60.0,60.0,0.0,1
2023-04-17,School grant - Carr Manor Community School,CLE,12 - My LEEDS 2023,,,['Carr Manor Community School'],['Moortown '],['LS17 5DJ'],100.0,100.0,0.0,1
2023-04-17,Schools Workshop,,07 - Children's Day,,,"[""St Philip's Catholic Primary  School""]",['Middleton Park '],,31.0,31.0,0.0,1
2023-04-17,School grant - Allerton High School,CLE,12 - My LEEDS 2023,,,['Allerton High School'],['Moortown '],['LS17 7AG'],300.0,300.0,0.0,1
2023-04-17,School grant - Allerton CE Primary School,CLE,12 - My LEEDS 2023,,,['Allerton CofE Primary School'],['Alwoodley'],,709.0,709.0,0.0,1
2023-04-17,School grant - Cross Gates Primary School,CLE,12 - My LEEDS 2023,,,['Cross Gates Primary School'],['Cross Gates and Whinmoor'],,266.0,266.0,0.0,1
2023-04-17,School grant - East SILC Whitkirk Partnership,CLE,12 - My LEEDS 2023,,,['Whitkirk Primary School'],['Bramley and Stanningley'],,500.0,500.0,0.0,1
2023-04-17,School grant - Kirkstall St Stephen's CE Primary,CLE,12 - My LEEDS 2023,,,"[""Kirkstall St Stephen's Church of England (VA) Primary School""]",['Kirkstall'],,205.0,205.0,0.0,1
2023-04-20,Waking the Artist at Home School,CLE,01 - The Awakening,,,['East SILC John Jamieson'],['Roundhay'],,15.0,15.0,0.0,1
2023-04-25,Waking the Artist at Victoria Primary Academy,CLE,01 - The Awakening,['Cross Gates and Whinmoor'],['LS14 1EG'],"[""Whinmoor St Paul's Church of England Primary School""]",['Armley'],,60.0,60.0,0.0,1
2023-04-26,Essentials of Youth Voice (Hosted by LeedsCEP),,Creative Learning S2,['Little London and Woodhouse'],['LS1 3HE'],,,,19.0,19.0,0.0,0
2023-05-02,CREST Award Teacher Consultation Sessions,Produce (Signature),09 - Smeaton300: Learning programme,['Hunslet and Riverside'],['LS10 1NE'],,,,0.0,0.0,0.0,0
2023-05-09,School Day: Lane End Primary,CLE,05 - The Barn,['Headingley and Hyde Park'],['LS6 2UZ'],['Lane End Primary School'],['Beeston and Holbeck'],,30.0,30.0,0.0,1
2023-05-09,School Day: IQRA Academy Primary,CLE,05 - The Barn,['Headingley and Hyde Park'],['LS6 2UZ'],['IQRA Academy Primary'],,['BD8 8DA'],45.0,45.0,0.0,1
2023-05-09,School Day: Moor Allerton Hall Primary,CLE,05 - The Barn,['Headingley and Hyde Park'],['LS6 2UZ'],['Moor Allerton Hall Primary School'],['Moortown'],,45.0,45.0,0.0,1
2023-05-09,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Moortown'],['LS6 4LD'],['Co-op Beckfield'],,,0.0,0.0,0.0,1
2023-05-09,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Alwoodley'],['LS17 5ES'],"[""St Paul's Catholic Primary School, a Voluntary Academy""]",['Alwoodley'],,0.0,0.0,0.0,1
2023-05-09,School Day: Greenmount Primary,CLE,05 - The Barn,['Headingley and Hyde Park'],['LS6 2UZ'],['Greenmount Primary School'],['Beeston and Holbeck'],,60.0,60.0,0.0,1
2023-05-09,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Otley and Yeadon'],['LS21 1DF'],['Otley All Saints CofE Primary School'],['Otley and Yeadon'],,0.0,0.0,0.0,1
2023-05-10,School Day: Allerton CE Primary School,CLE,05 - The Barn,['Headingley and Hyde Park'],['LS6 2UZ'],['Allerton CofE Primary School'],['Alwoodley'],,90.0,90.0,0.0,1
2023-05-10,School Day: Temple Learning Academy,CLE,05 - The Barn,['Headingley and Hyde Park'],['LS6 2UZ'],['Temple Learning Academy'],['Temple Newsam '],,60.0,60.0,0.0,1
2023-05-10,School Day: Whinmoor St Paul's C of E,CLE,05 - The Barn,['Headingley and Hyde Park'],['LS6 2UZ'],"[""Whinmoor St Paul's Church of England Primary School""]",['Armley'],,34.0,34.0,0.0,1
2023-05-11,School Day: The Halifax Academy,CLE,05 - The Barn,['Headingley and Hyde Park'],['LS6 2UZ'],['The Halifax Academy'],,,50.0,50.0,0.0,1
2023-05-11,School Day: Leeds City Academy,CLE,05 - The Barn,['Headingley and Hyde Park'],['LS6 2UZ'],['Leeds City Academy'],['Headingley and Hyde Park'],['LS6 2LG'],30.0,30.0,0.0,1
2023-05-11,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Weetwood'],['LS16 6NF'],['Co-op Beckfield'],,,0.0,0.0,0.0,1
2023-05-11,School Day: Royds Hall,CLE,05 - The Barn,['Headingley and Hyde Park'],['LS6 2UZ'],['Royds Hall'],,['HD3 4HA'],30.0,30.0,0.0,1
2023-05-12,School Day: Tong Leadership Academy,CLE,05 - The Barn,['Headingley and Hyde Park'],['LS6 2UZ'],['Tong Leadership Academy'],,['BD4 6NR'],30.0,30.0,0.0,1
2023-05-12,School Day: Todmorden High School,CLE,05 - The Barn,['Headingley and Hyde Park'],['LS6 2UZ'],['Todmorden High School'],,['OL14 7DG'],60.0,60.0,0.0,1
2023-05-12,School Day: Thornhill Community Academy,CLE,05 - The Barn,['Headingley and Hyde Park'],['LS6 2UZ'],['Thornhill Community Academy'],,['WF12 0HE'],31.0,31.0,0.0,1
2023-05-12,School Day: Netherhall Learning Campus,CLE,05 - The Barn,['Headingley and Hyde Park'],['LS6 2UZ'],['Netherhall Learning Campus'],,['HD5 9PG'],45.0,45.0,0.0,1
2023-05-12,School Day: Halifax Grammar School,CLE,05 - The Barn,['Headingley and Hyde Park'],['LS6 2UZ'],['North Halifax Grammar School'],,['HX2 9SU'],14.0,14.0,0.0,1
2023-05-16,The Space Digital Interactive Playspace ,Produce (Signature),05 - The Barn,,,,,,128.0,128.0,0.0,0
2023-05-16,The Space Digital Interactive Playspace (school workshops),Produce (Signature),05 - The Barn,,,['Trinity Academy Leeds'],['Burmantofts and Richmond Hill '],['LS9 7QL'],4.0,4.0,0.0,1
2023-05-16,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Farnley and Wortley'],['LS12 5LA'],['Co-op Beckfield'],,,0.0,0.0,0.0,1
2023-05-16,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Armley'],['LS12 1SF'],['St Bartholomews'],['Armley'],,0.0,0.0,0.0,1
2023-05-17,P.L.A.Y Day Research Workshop with LEEDS 2023,CLE,Creative Learning S2,['Headingley and Hyde Park'],['LS6 2UZ'],,,,47.0,47.0,0.0,0
2023-05-17,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,,['BD4 8ER'],['Co-op Beckfield'],,,0.0,0.0,0.0,1
2023-05-17,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Cross Gates and Whinmoor'],['LS15 8JH'],['Manston St James Primary Academy'],['Cross Gates and Whinmoor'],,0.0,0.0,0.0,1
2023-05-18,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Bramley and Stanningley'],['LS13 1DQ'],['Summerfield PS'],['Bramley and Stanningley'],,0.0,0.0,0.0,1
2023-05-22,Saturday Town School Workshops: Pinc College,CLE,Creative Learning S2,,,['Notre Dame Catholic Sixth Form College'],['Little London and Woodhouse'],,8.0,8.0,0.0,1
2023-05-22,Saturday Town School Workshops: Prince Henrys School,CLE,Creative Learning S2,,,"[""Otley Prince Henry's Grammar School Specialist Language College""]",['Otley and Yeadon '],,26.0,26.0,0.0,1
2023-05-22,Saturday Town School Workshops: Pudsey Grammar,CLE,Creative Learning S2,,,['Notre Dame Catholic Sixth Form College'],['Little London and Woodhouse'],,22.0,22.0,0.0,1
2023-05-22,Saturday Town School Workshops: Roundhay School,CLE,Creative Learning S2,,,['Notre Dame Catholic Sixth Form College'],['Little London and Woodhouse'],,24.0,24.0,0.0,1
2023-05-22,Saturday Town School Workshops: John Charles Academy,CLE,Creative Learning S2,,,['Cockburn John Charles Academy'],['Middleton Park '],['LS10 2JU'],20.0,20.0,0.0,1
2023-05-22,Saturday Town School Workshops: Guiseley School,CLE,Creative Learning S2,,,['Notre Dame Catholic Sixth Form College'],['Little London and Woodhouse'],,24.0,24.0,0.0,1
2023-05-22,Saturday Town School Workshops: Getaway Girls,CLE,Creative Learning S2,,,['Notre Dame Catholic Sixth Form College'],['Little London and Woodhouse'],,12.0,12.0,0.0,1
2023-05-22,Saturday Town School Workshops: Cockburn School,CLE,Creative Learning S2,,,['Notre Dame Catholic Sixth Form College'],['Little London and Woodhouse'],,26.0,26.0,0.0,1
2023-05-22,Saturday Town School Workshops: Notre Dame Catholic Sixth Form College,CLE,Creative Learning S2,,,['Notre Dame Catholic Sixth Form College'],['Little London and Woodhouse'],,44.0,44.0,0.0,1
2023-06-06,Schools Workshop,,07 - Children's Day,,,"[""Rothwell St Mary's RC Primary School""]",['Rothwell'],,11.0,11.0,0.0,1
2023-06-06,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Middleton Park'],['LS10 4QE'],['Sharp Lane Primary School'],['Middleton Park '],,0.0,0.0,0.0,1
2023-06-06,Smeaton CREST Awards - SuperStar Level,CLE,09 - Smeaton300: Learning programme,,,['Strawberry Fields Primary School'],['Garforth and Swillington'],['LS25 1LL'],90.0,90.0,0.0,1
2023-06-06,Smeaton CREST Awards - SuperStar Level,CLE,09 - Smeaton300: Learning programme,,,"['St Francis Catholic Primary School, Morley']",['Morley South'],,40.0,40.0,0.0,1
2023-06-06,Smeaton CREST Awards - SuperStar Level,CLE,09 - Smeaton300: Learning programme,,,['Morley Victoria Primary School'],['Morley North '],,15.0,15.0,0.0,1
2023-06-06,Smeaton CREST Awards - SuperStar Level,CLE,09 - Smeaton300: Learning programme,,,"[""Roundhay St John's Church of England Primary School""]",['Roundhay '],,20.0,20.0,0.0,1
2023-06-06,Smeaton CREST Awards - SuperStar Level,CLE,09 - Smeaton300: Learning programme,,,['Whingate Primary School'],['Wetherby'],,60.0,60.0,0.0,1
2023-06-06,Pool Primary mural,CLE,12 - My LEEDS 2023,,,['Pool-in-Wharfedale Church of England Voluntary Controlled Primary School'],['Adel and Wharfedale'],['LS21 1LG'],30.0,30.0,0.0,1
2023-06-06,Valley View School sari-making,CLE,12 - My LEEDS 2023,,,['Valley View Community Primary School'],['Bramley and Stanningley'],,30.0,30.0,0.0,1
2023-06-06,Rosebank Primary School Bhangra Dance Performance,CLE,12 - My LEEDS 2023,,,['Rosebank Primary School'],['Little London and Woodhouse'],,15.0,15.0,0.0,1
2023-06-06,Schools Workshop,,07 - Children's Day,,,['Our Lady of Good Counsel Catholic Primary School'],['Killingbeck and Seacroft'],,30.0,30.0,0.0,1
2023-06-06,Smeaton CREST Awards - SuperStar Level,CLE,09 - Smeaton300: Learning programme,,,['Fieldhead Carr Primary School'],['Cross Gates and Whinmoor'],,60.0,60.0,0.0,1
2023-06-06,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Morley South'],['LS27 0AW'],['Fountain Primary School'],['Morley South'],,0.0,0.0,0.0,1
2023-06-07,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Beeston and Holbeck'],['LS11 6BA'],['Greenmount Primary School'],['Beeston and Holbeck'],,0.0,0.0,0.0,1
2023-06-08,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Moortown'],[' LS17 5DJ'],['Carr Manor Community School'],['Moortown '],['LS17 5DJ'],0.0,0.0,0.0,1
2023-06-08,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Moortown'],['LS17 6QP'],['Moor Allerton Hall Primary School'],['Moortown'],,0.0,0.0,0.0,1
2023-06-08,Launch of Smeaton learning resources and CREST Awards,Produce (Signature),09 - Smeaton300: Learning programme,,,,,,0.0,0.0,0.0,0
2023-06-08,Launch of Smeaton learning resources and CREST Awards,Produce (Signature),09 - Smeaton300: Learning programme,,,,,,0.0,0.0,0.0,0
2023-06-11,Leeds Young Film Programmers: Cockburn John Charles Academy,CLE,Creative Learning S1,,,['Cockburn John Charles Academy'],['Middleton Park '],['LS10 2JU'],30.0,30.0,0.0,1
2023-06-14,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Chapel Allerton'],['LS7 4AW'],"[""Holy Rosary and St Anne's Catholic Primary School, a Voluntary Academy""]",['Chapel Allerton'],,0.0,0.0,0.0,1
2023-06-14,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Burmantofts and Richmond Hill'],['LS9 7NP'],['Shakespeare Primary School'],['Burmantofts and Richmond Hill '],,0.0,0.0,0.0,1
2023-06-15,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Farnley and Wortley'],['LS12 5AW'],['Ryecroft Academy'],['Farnley and Wortley'],,0.0,0.0,0.0,1
2023-06-15,Leeds Piano Week: One Small Step Tour,CLE,Creative Learning S2,['Horsforth'],['LS18 5AF'],['Broadgate Primary School'],['Horsforth'],,0.0,0.0,0.0,1
2023-06-19,Leeds Young Film Programmers: John Smeaton Academy,CLE,Creative Learning S1,,,['John Smeaton Academy'],['Cross Gates and Whinmoor'],,28.0,28.0,0.0,1
2023-06-19,School grant - Westgate Primary School,CLE,12 - My LEEDS 2023,,,['Westgate Primary School'],['Otley and Yeadon'],,240.0,240.0,0.0,1
2023-06-21,Leeds Youth Music Festival Celebration Concert,CLE,General CLE,['Little London and Woodhouse'],['LS2 8BY'],['Primley Wood Primary School'],['Alwoodley '],,8.0,8.0,0.0,1
2023-06-21,Leeds Youth Music Festival Celebration Concert,CLE,General CLE,['Little London and Woodhouse'],['LS2 8BY'],['Park Spring Primary School'],['Pudsey'],,8.0,8.0,0.0,1
2023-06-21,Leeds Youth Music Festival Celebration Concert,CLE,General CLE,['Little London and Woodhouse'],['LS2 8BY'],"[""St Chad's Church of England Primary School""]",['Weetwood '],,8.0,8.0,0.0,1
2023-06-21,Leeds Youth Music Festival Celebration Concert,CLE,General CLE,['Little London and Woodhouse'],['LS2 8BY'],['The New Bewerley Community Primary School'],['Beeston and Holbeck'],,8.0,8.0,0.0,1
2023-06-21,Leeds Youth Music Festival Celebration Concert,CLE,General CLE,['Little London and Woodhouse'],['LS2 8BY'],['Morley Victoria Primary School'],['Morley North '],,8.0,8.0,0.0,1
2023-06-21,Leeds Youth Music Festival Celebration Concert,CLE,General CLE,['Little London and Woodhouse'],['LS2 8BY'],['Morley Newlands Academy'],['Morley South'],,8.0,8.0,0.0,1
2023-06-21,Leeds Youth Music Festival Celebration Concert,CLE,General CLE,['Little London and Woodhouse'],['LS2 8BY'],['Ninelands Primary School'],['Garforth and Swillington'],,8.0,8.0,0.0,1
2023-06-21,Leeds Youth Music Festival Celebration Concert,CLE,General CLE,['Little London and Woodhouse'],['LS2 8BY'],['Pool-in-Wharfedale Church of England Voluntary Controlled Primary School'],['Adel and Wharfedale'],['LS21 1LG'],8.0,8.0,0.0,1
2023-06-21,Leeds Youth Music Festival Celebration Concert,CLE,General CLE,['Little London and Woodhouse'],['LS2 8BY'],"[""St Paul's Catholic Primary School, a Voluntary Academy""]",['Alwoodley'],,8.0,8.0,0.0,1
2023-06-21,Leeds Youth Music Festival Celebration Concert,CLE,General CLE,['Little London and Woodhouse'],['LS2 8BY'],['Micklefield Church of England Primary Academy'],['Kippax and Methley'],,8.0,8.0,0.0,1
2023-06-21,Leeds Youth Music Festival Celebration Concert,CLE,General CLE,['Little London and Woodhouse'],['LS2 8BY'],['Co-op Academy Brownhill'],['Burmantofts and Richmond Hill '],,8.0,8.0,0.0,1
2023-06-21,Leeds Youth Music Festival Celebration Concert,CLE,General CLE,['Little London and Woodhouse'],['LS2 8BY'],['Alwoodley Primary School'],['Alwoodley'],,8.0,8.0,0.0,1
