id,name,location,card_price,time,display,stage
80536,Lord of the Flies,Leeds Playhouse,,2023-03-20 19:00:00,,['Past']
80978,Clubbercise ,New Farnley Community Centre,From £5,2023-03-20 19:10:00,,
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-21 09:00:00,True,['Published/Will be']
80536,Lord of the Flies,Leeds Playhouse,,2023-03-21 19:00:00,,['Past']
80980,Clubbercise,Swinnow Community Centre,From £5,2023-03-21 19:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-22 09:00:00,True,['Published/Will be']
79768,Meditative Walks with Brahma Kumaris,Kirkstall Abbey,Free,2023-03-22 10:30:00,True,['Published/Will be']
80829,Wellbeing Wednesdays at Leeds Art Gallery ,Leeds Art Gallery,Free,2023-03-22 11:30:00,True,['Published/Will be']
78965,A Monster Calls,Carriageworks Theatre,,2023-03-22 19:00:00,,['Past']
80536,Lord of the Flies,Leeds Playhouse,,2023-03-22 19:00:00,,['Past']
79905,The Hound Of The Baskervilles,Carriageworks Theatre,,2023-03-22 19:15:00,,['Past']
79243,Lindy Hop Fundamentals,The Dance Studio Leeds,£32,2023-03-22 19:30:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-23 09:00:00,True,['Published/Will be']
78965,A Monster Calls,Carriageworks Theatre,,2023-03-23 19:00:00,,['Past']
80536,Lord of the Flies,Leeds Playhouse,,2023-03-23 19:00:00,,['Past']
79905,The Hound Of The Baskervilles,Carriageworks Theatre,,2023-03-23 19:15:00,,['Past']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-24 09:00:00,True,['Published/Will be']
79686,Tiny Tigers - museum crafts for under 5s,Leeds City Museum,Free,2023-03-24 10:00:00,True,['Published/Will be']
80128,Meet & Make,Leeds Art Gallery,Free,2023-03-24 13:30:00,True,['Published/Will be']
77859,Lindy Fridays,Carriageworks Theatre,,2023-03-24 19:00:00,,
78965,A Monster Calls,Carriageworks Theatre,,2023-03-24 19:00:00,,['Past']
80536,Lord of the Flies,Leeds Playhouse,,2023-03-24 19:00:00,,['Past']
79905,The Hound Of The Baskervilles,Carriageworks Theatre,,2023-03-24 19:15:00,,['Past']
79690,Rory's Saturday Club - free crafts for families,Leeds City Museum,Free,2023-03-25 11:00:00,True,['Published/Will be']
78965,A Monster Calls,Carriageworks Theatre,,2023-03-25 14:00:00,,['Past']
79905,The Hound Of The Baskervilles,Carriageworks Theatre,,2023-03-25 17:00:00,,['Past']
78965,A Monster Calls,Carriageworks Theatre,,2023-03-25 18:00:00,,['Past']
80536,Lord of the Flies,Leeds Playhouse,,2023-03-25 19:00:00,,['Past']
79575,The Bad Mittens Sunday at Armley,Armley Leisure Centre,From £2.50,2023-03-26 12:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-27 09:00:00,True,['Published/Will be']
80929,Beginners Pilates Class,We Are Wellness,Free first beginner class,2023-03-27 17:30:00,True,['Published/Will be']
80536,Lord of the Flies,Leeds Playhouse,,2023-03-27 19:00:00,,['Past']
80978,Clubbercise ,New Farnley Community Centre,From £5,2023-03-27 19:10:00,,
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-28 09:00:00,True,['Published/Will be']
80536,Lord of the Flies,Leeds Playhouse,,2023-03-28 19:00:00,,['Past']
80980,Clubbercise,Swinnow Community Centre,From £5,2023-03-28 19:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-29 09:00:00,True,['Published/Will be']
79768,Meditative Walks with Brahma Kumaris,Kirkstall Abbey,Free,2023-03-29 10:30:00,True,['Published/Will be']
80829,Wellbeing Wednesdays at Leeds Art Gallery ,Leeds Art Gallery,Free,2023-03-29 11:30:00,True,['Published/Will be']
81143,Creative Networks x LEEDS 2023 introduce Keith Khan,,,2023-03-29 18:00:00,,
80536,Lord of the Flies,Leeds Playhouse,,2023-03-29 19:00:00,,['Past']
79243,Lindy Hop Fundamentals,The Dance Studio Leeds,£32,2023-03-29 19:30:00,True,['Published/Will be']
76580,Library Socials,Various Locations,Free,2023-03-30 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-30 09:00:00,True,['Published/Will be']
80536,Lord of the Flies,Leeds Playhouse,,2023-03-30 19:00:00,,['Past']
76580,Library Socials,Various Locations,Free,2023-03-31 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-03-31 09:00:00,True,['Published/Will be']
79686,Tiny Tigers - museum crafts for under 5s,Leeds City Museum,Free,2023-03-31 10:00:00,True,['Published/Will be']
80128,Meet & Make,Leeds Art Gallery,Free,2023-03-31 13:30:00,True,['Published/Will be']
77859,Lindy Fridays,Carriageworks Theatre,,2023-03-31 19:00:00,,
80536,Lord of the Flies,Leeds Playhouse,,2023-03-31 19:00:00,,['Past']
79690,Rory's Saturday Club - free crafts for families,Leeds City Museum,Free,2023-04-01 11:00:00,True,['Published/Will be']
80536,Lord of the Flies,Leeds Playhouse,,2023-04-01 19:00:00,,['Past']
76446,Brighouse and Rastrick Band | Leeds Best of Brass 2022/2023,Morley Town Hall,,2023-04-01 19:30:00,,['Past']
80626,Reflections of an Indian Dancer,Leeds Playhouse,,2023-04-01 19:45:00,,['Past']
79575,The Bad Mittens Sunday at Armley,Armley Leisure Centre,From £2.50,2023-04-02 12:00:00,True,['Published/Will be']
80536,Lord of the Flies,Leeds Playhouse,,2023-04-02 19:00:00,,['Past']
76580,Library Socials,Various Locations,Free,2023-04-03 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-03 09:00:00,True,['Published/Will be']
80929,Beginners Pilates Class,We Are Wellness,Free first beginner class,2023-04-03 17:30:00,True,['Published/Will be']
80536,Lord of the Flies,Leeds Playhouse,,2023-04-03 19:00:00,,['Past']
80978,Clubbercise ,New Farnley Community Centre,From £5,2023-04-03 19:10:00,,
76580,Library Socials,Various Locations,Free,2023-04-04 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-04 09:00:00,True,['Published/Will be']
80536,Lord of the Flies,Leeds Playhouse,,2023-04-04 19:00:00,,['Past']
80980,Clubbercise,Swinnow Community Centre,From £5,2023-04-04 19:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-05 09:00:00,True,['Published/Will be']
79768,Meditative Walks with Brahma Kumaris,Kirkstall Abbey,Free,2023-04-05 10:30:00,True,['Published/Will be']
79685,Keep Crafting - free adult crafts,Leeds City Museum,Free,2023-04-05 15:00:00,True,['Published/Will be']
80536,Lord of the Flies,Leeds Playhouse,,2023-04-05 19:00:00,,['Past']
79243,Lindy Hop Fundamentals,The Dance Studio Leeds,£32,2023-04-05 19:30:00,True,['Published/Will be']
76580,Library Socials,Various Locations,Free,2023-04-06 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-06 09:00:00,True,['Published/Will be']
81140,Overlooked Spotlight Tour,Leeds City Museum,Free,2023-04-06 12:00:00,True,['Published/Will be']
80536,Lord of the Flies,Leeds Playhouse,,2023-04-06 19:00:00,,['Past']
76580,Library Socials,Various Locations,Free,2023-04-07 09:00:00,True,['Published/Will be']
80636,Wise Women ,"Leeds School of Arts Building, Leeds Beckett University",Free,2023-04-07 09:00:00,True,['Published/Will be']
79686,Tiny Tigers - museum crafts for under 5s,Leeds City Museum,Free,2023-04-07 10:00:00,True,['Published/Will be']
80128,Meet & Make,Leeds Art Gallery,Free,2023-04-07 13:30:00,True,['Published/Will be']
77859,Lindy Fridays,Carriageworks Theatre,,2023-04-07 19:00:00,,
80536,Lord of the Flies,Leeds Playhouse,,2023-04-07 19:00:00,,['Past']
79690,Rory's Saturday Club - free crafts for families,Leeds City Museum,Free,2023-04-08 11:00:00,True,['Published/Will be']
80536,Lord of the Flies,Leeds Playhouse,,2023-04-08 19:00:00,,['Past']
79575,The Bad Mittens Sunday at Armley,Armley Leisure Centre,From £2.50,2023-04-09 12:00:00,True,['Published/Will be']
