Local Authority,count_2018-19,count_2019-20,count_2020-21,count_2021-22,count_2022-23,sum_2018-19,sum_2019-20,sum_2020-21,sum_2021-22,sum_2022-23,count_total,sum_total
Selby,1.0,1.0,1.0,4.0,3.0,69984.0,14537.0,14910.0,69277.0,82302.0,10.0,251010.0
Sevenoaks,4.0,4.0,1.0,4.0,2.0,89179.0,57488.0,14337.0,85940.0,22210.0,15.0,269154.0
Sheffield,59.0,64.0,36.0,62.0,14.0,1176185.0,1315796.0,702459.0,1674804.0,363597.0,235.0,5232841.0
Shropshire,21.0,18.0,16.0,17.0,6.0,334116.0,264286.0,305426.0,608406.0,112341.0,78.0,1624575.0
Slough,7.0,9.0,3.0,7.0,,85794.0,181691.0,44678.0,290713.0,,26.0,602876.0
Slovakia,,1.0,,,,,14897.0,,,,1.0,14897.0
Solihull,8.0,5.0,5.0,7.0,1.0,81894.0,86060.0,71545.0,152867.0,20000.0,26.0,412366.0
Somerset West and Taunton,20.0,10.0,10.0,12.0,4.0,322573.0,195034.0,236669.0,252998.0,149825.0,56.0,1157099.0
South Cambridgeshire,4.0,9.0,3.0,14.0,1.0,44588.0,194410.0,32783.0,300898.0,55728.0,31.0,628407.0
South Derbyshire,2.0,,3.0,2.0,1.0,29686.0,,43403.0,32997.0,12000.0,8.0,118086.0
South Gloucestershire,9.0,11.0,4.0,8.0,2.0,190931.0,270470.0,56757.0,127135.0,34613.0,34.0,679906.0
South Hams,11.0,9.0,2.0,4.0,,133082.0,125887.0,29975.0,49674.0,,26.0,338618.0
South Holland,,2.0,2.0,1.0,2.0,,11999.0,28380.0,9561.0,37346.0,7.0,87286.0
South Kesteven,,2.0,2.0,1.0,3.0,,29074.0,29500.0,14990.0,118953.0,8.0,192517.0
South Lakeland,11.0,16.0,6.0,12.0,7.0,302790.0,280709.0,81820.0,361432.0,250221.0,52.0,1276972.0
South Lanarkshire,1.0,,,,,24848.0,,,,,1.0,24848.0
South Norfolk,7.0,9.0,8.0,7.0,3.0,153529.0,292893.0,122580.0,106694.0,132225.0,34.0,807921.0
South Northamptonshire,4.0,1.0,3.0,,,54911.0,27065.0,44319.0,,,8.0,126295.0
South Oxfordshire,5.0,8.0,2.0,6.0,2.0,71128.0,140839.0,27985.0,73459.0,38000.0,23.0,351411.0
South Ribble,1.0,1.0,2.0,2.0,,17060.0,15000.0,18994.0,19110.0,,6.0,70164.0
South Somerset,5.0,8.0,5.0,6.0,3.0,86190.0,198517.0,136248.0,184016.0,91352.0,27.0,696323.0
South Staffordshire,1.0,2.0,,2.0,,28760.0,41259.0,,28500.0,,5.0,98519.0
South Tyneside,4.0,7.0,5.0,4.0,3.0,53488.0,275775.0,68595.0,76761.0,47299.0,23.0,521918.0
Southampton,10.0,12.0,3.0,11.0,5.0,325886.0,474047.0,62287.0,658178.0,173912.0,41.0,1694310.0
Southend-on-Sea,12.0,14.0,8.0,14.0,3.0,136125.0,219367.0,122024.0,238961.0,59426.0,51.0,775903.0
Southwark,99.0,74.0,49.0,83.0,30.0,1784135.0,1930465.0,764896.0,2336260.0,713120.0,335.0,7528876.0
Spelthorne,3.0,,1.0,1.0,2.0,27879.0,,14980.0,49930.0,18263.0,7.0,111052.0
St Albans,4.0,11.0,8.0,10.0,7.0,48400.0,180339.0,102511.0,183501.0,303406.0,40.0,818157.0
St. Helens,2.0,4.0,4.0,,,28848.0,118651.0,122480.0,,,10.0,269979.0
Stafford,1.0,4.0,1.0,3.0,,14900.0,67373.0,14960.0,129495.0,,9.0,226728.0
Staffordshire Moorlands,1.0,1.0,2.0,,,6000.0,13080.0,27612.0,,,4.0,46692.0
Stevenage,1.0,6.0,1.0,2.0,1.0,13000.0,108535.0,10040.0,25555.0,28795.0,11.0,185925.0
Stockport,8.0,15.0,6.0,13.0,3.0,158354.0,302421.0,84764.0,170871.0,88666.0,45.0,805076.0
Stockton-on-Tees,15.0,14.0,8.0,12.0,4.0,299616.0,504270.0,119724.0,319909.0,185110.0,53.0,1428629.0
Stoke-on-Trent,10.0,16.0,7.0,10.0,4.0,253612.0,684616.0,215435.0,216208.0,160296.0,47.0,1530167.0
Stratford-on-Avon,11.0,4.0,3.0,4.0,5.0,458514.0,93249.0,43884.0,106860.0,1403858.0,27.0,2106365.0
Stroud,9.0,16.0,11.0,11.0,4.0,90013.0,259080.0,152668.0,330242.0,167330.0,51.0,999333.0
Sunderland,12.0,9.0,10.0,12.0,8.0,207795.0,202840.0,318489.0,250899.0,261603.0,51.0,1241626.0
Surrey Heath,,1.0,2.0,2.0,,,10137.0,29670.0,31300.0,,5.0,71107.0
Sutton,5.0,8.0,4.0,7.0,,86452.0,104598.0,46296.0,197313.0,,24.0,434659.0
Swale,8.0,3.0,4.0,6.0,3.0,170824.0,38368.0,59606.0,121428.0,77653.0,24.0,467879.0
Swansea,,,1.0,1.0,,,,6400.0,24335.0,,2.0,30735.0
Swindon,9.0,5.0,5.0,4.0,5.0,274121.0,70460.0,112584.0,109679.0,156427.0,28.0,723271.0
Tameside,8.0,10.0,8.0,7.0,4.0,127490.0,121068.0,107512.0,147770.0,101964.0,37.0,605804.0
Tamworth,1.0,2.0,,1.0,1.0,15000.0,41200.0,,38500.0,29300.0,5.0,124000.0
Tandridge,5.0,7.0,3.0,4.0,,153378.0,144659.0,36138.0,80513.0,,19.0,414688.0
Teignbridge,15.0,9.0,4.0,10.0,3.0,144856.0,125589.0,46365.0,235734.0,114938.0,41.0,667482.0
Telford and Wrekin,,3.0,,1.0,1.0,,39305.0,,7171.0,13463.0,5.0,59939.0
Tendring,2.0,5.0,6.0,5.0,2.0,27404.0,99617.0,84978.0,112181.0,52453.0,20.0,376633.0
Test Valley,3.0,3.0,7.0,5.0,,99658.0,94327.0,72742.0,68412.0,,18.0,335139.0
Tewkesbury,,5.0,5.0,1.0,,,79053.0,51318.0,14800.0,,11.0,145171.0
Thanet,38.0,40.0,17.0,43.0,12.0,775900.0,687072.0,250074.0,917559.0,276787.0,150.0,2907392.0
Three Rivers,4.0,3.0,2.0,5.0,1.0,44121.0,40420.0,22894.0,105890.0,14513.0,15.0,227838.0
Thurrock,6.0,10.0,5.0,4.0,2.0,96217.0,135485.0,65645.0,88330.0,33056.0,27.0,418733.0
Tonbridge and Malling,2.0,1.0,2.0,5.0,2.0,29924.0,15000.0,19180.0,105672.0,42782.0,12.0,212558.0
Torbay,8.0,6.0,3.0,5.0,1.0,219761.0,80829.0,70535.0,143625.0,19912.0,23.0,534662.0
Torridge,2.0,2.0,1.0,,1.0,29600.0,56686.0,14985.0,,29947.0,6.0,131218.0
Tower Hamlets,63.0,87.0,35.0,77.0,21.0,1206515.0,2218815.0,583517.0,1822065.0,447921.0,283.0,6278833.0
Trafford,22.0,32.0,16.0,16.0,8.0,311593.0,617140.0,320642.0,347637.0,277813.0,94.0,1874825.0
Tunbridge Wells,6.0,10.0,1.0,4.0,1.0,107150.0,657009.0,15000.0,72205.0,17234.0,22.0,868598.0
Uttlesford,3.0,1.0,2.0,6.0,1.0,67818.0,9462.0,29500.0,96301.0,12479.0,13.0,215560.0
Vale of Glamorgan,,1.0,,1.0,,,11720.0,,14476.0,,2.0,26196.0
Vale of White Horse,2.0,2.0,1.0,4.0,3.0,24003.0,23236.0,9244.0,87158.0,51566.0,12.0,195207.0
Wakefield,10.0,11.0,8.0,9.0,2.0,164318.0,263948.0,96268.0,1032323.0,61001.0,40.0,1617858.0
Walsall,3.0,5.0,,3.0,1.0,74970.0,99014.0,,34670.0,30000.0,12.0,238654.0
Waltham Forest,49.0,56.0,31.0,45.0,10.0,747930.0,795891.0,428509.0,758682.0,266579.0,191.0,2997591.0
Wandsworth,33.0,31.0,17.0,19.0,7.0,425423.0,593946.0,697665.0,358970.0,185977.0,107.0,2261981.0
Warrington,4.0,3.0,2.0,7.0,3.0,81233.0,67947.0,26562.0,119749.0,87651.0,19.0,383142.0
Warwick,16.0,19.0,16.0,14.0,1.0,416971.0,375403.0,224761.0,503642.0,30000.0,66.0,1550777.0
Watford,8.0,4.0,4.0,5.0,1.0,160398.0,168372.0,63310.0,65661.0,17000.0,22.0,474741.0
Waverley,12.0,10.0,9.0,10.0,2.0,255316.0,192107.0,196340.0,207831.0,57920.0,43.0,909514.0
Wealden,7.0,8.0,9.0,7.0,2.0,229533.0,198611.0,108819.0,198710.0,39466.0,33.0,775139.0
Wellingborough,1.0,,1.0,,,15000.0,,15172.0,,,2.0,30172.0
Welwyn Hatfield,2.0,6.0,2.0,3.0,2.0,21556.0,114172.0,64808.0,246652.0,22140.0,15.0,469328.0
West Berkshire,5.0,4.0,5.0,2.0,3.0,131660.0,55474.0,70906.0,23795.0,84745.0,19.0,366580.0
West Devon,4.0,3.0,1.0,2.0,2.0,37142.0,124790.0,9500.0,27085.0,33011.0,12.0,231528.0
West Lancashire,3.0,1.0,1.0,2.0,1.0,33026.0,14500.0,15000.0,34876.0,27500.0,8.0,124902.0
West Lindsey,2.0,3.0,2.0,2.0,1.0,23694.0,124736.0,31498.0,31898.0,25994.0,10.0,237820.0
West Northamptonshire,,,,12.0,6.0,,,,283843.0,207399.0,18.0,491242.0
West Oxfordshire,7.0,4.0,4.0,7.0,2.0,128846.0,123817.0,35739.0,139901.0,78249.0,24.0,506552.0
West Suffolk,10.0,7.0,6.0,7.0,2.0,145779.0,197665.0,107311.0,116580.0,9829.0,32.0,577164.0
Westminster,56.0,59.0,28.0,54.0,13.0,3099895.0,1641445.0,2530154.0,4062448.0,771122.0,210.0,12105064.0
Wigan,5.0,3.0,5.0,3.0,9.0,54786.0,858964.0,149157.0,76057.0,170481.0,25.0,1309445.0
Wiltshire,23.0,27.0,12.0,24.0,3.0,378334.0,407419.0,215278.0,509703.0,113424.0,89.0,1624158.0
Winchester,9.0,7.0,3.0,9.0,2.0,111220.0,107512.0,54233.0,385855.0,59979.0,30.0,718799.0
Windsor and Maidenhead,2.0,5.0,3.0,3.0,1.0,29946.0,93643.0,41230.0,67432.0,22657.0,14.0,254908.0
Wirral,8.0,9.0,9.0,6.0,4.0,203029.0,148771.0,116208.0,107661.0,114107.0,36.0,689776.0
Woking,4.0,4.0,3.0,1.0,,49204.0,51330.0,42593.0,13049.0,,12.0,156176.0
Wokingham,6.0,6.0,2.0,5.0,,131648.0,86582.0,24100.0,69622.0,,19.0,311952.0
Wolverhampton,11.0,9.0,9.0,9.0,5.0,233415.0,120159.0,209412.0,215724.0,170337.0,43.0,949047.0
Worcester,9.0,9.0,3.0,14.0,5.0,234949.0,188716.0,123695.0,332280.0,130211.0,40.0,1009851.0
Worthing,10.0,12.0,5.0,7.0,2.0,131685.0,180566.0,73559.0,144893.0,55230.0,36.0,585933.0
Wrexham,1.0,,1.0,1.0,,8014.0,,11998.0,12855.0,,3.0,32867.0
Wychavon,1.0,5.0,1.0,2.0,,5000.0,96723.0,33324.0,21720.0,,9.0,156767.0
Wyre,4.0,3.0,2.0,6.0,,32179.0,80485.0,28080.0,145699.0,,15.0,286443.0
Wyre Forest,2.0,,,2.0,1.0,28817.0,,,23244.0,35750.0,5.0,87811.0
York,14.0,18.0,10.0,12.0,4.0,202898.0,756701.0,121329.0,308399.0,72620.0,58.0,1461947.0
