News Date,News Headline,Contact Name,Outlet Name,Outlet Type,Audience Reach,UV*,Tone,Medium,Custom Tags,News Company Mentions
2021-10-23,"Culture is not just for the middle classes, it changes peoples lives ",,Yorkshire Evening Post ,,23055.0,,,Print,Local,
2021-10-23,Leeds City Square will be 'taken over' by LEEDS 2023 for 'Year of Culture',,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-10-23,Leeds City Square will be 'taken over' by LEEDS 2023 for 'Year of Culture',,Yorkshire Evening Post ,,23055.0,,,Print,Local,
2021-10-23,"Column - Martha Rose Stewart, City Square ",,Yorkshire Evening Post ,,302040,,POS,Print,Local,
2021-10-23,"Culture is not just for the middle classes, it changes peoples lives ",,Yorkshireeveningpost.co.uk,,302055.0,,,Online ,Online,
2021-10-23,"Column - Martha Rose Stewart, City Square ",,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-10-23,Hello Leeds - Red Ladder,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-10-23,Hello Leeds - Red Ladder,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2021-10-24,Culture isn't just for the middle classes,,Yorkshirepost.co.uk,,567120,,POS,Online,Local,
2021-10-30,Meet artist spreading joy with new murals ,,Yorkshire Evening Post ,,23055.0,,,Print,Local,
2021-10-30,Can a combination of Leeds United and a Charlie Chalk Fun Factory change the game for street artists?,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-10-30,LEEDS 2023: Meet non-binary trans artist born in Malaysia now celebrating stories in Leeds,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-10-30,Column - From Malaysia to Leeds,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2021-10-30,Column - From Malaysia to Leeds,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-10-30,Hello Leeds - Murals by Phil Harris,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2021-10-30,Hello Leeds - Murals by Phil Harris,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-10-30,From Malaysia to Leeds: How Sayang is opening creative doors,,Yorkshire Evening Post ,,23055.0,,,Print,Local,
2021-11-01,Hello Leeds - Culture and Climate change,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-11-01,LEEDS 2023 AWARDED SIGNIFICANT FUNDING TO BRING LEEDS’ HERITAGE STORIES TO LIFE,,on-magazine.co.uk,,3870,,POS,Online,Regional,
2021-11-01,Hello Leeds - Culture and Climate change,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2021-11-03,British council commissions,,artsprofessional.co.uk,,,,POS,Online,Trade,
2021-11-06,Hello Leeds - Cross Gates Community,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2021-11-06,Hello Leeds - Cross Gates Community,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-11-06,"Column - Lisa Mallahan, BPH",,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2021-11-06,"Column - Lisa Mallahan, BPH",,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-11-06,Hello Leeds - Pudsey Theatre Company  ,,Yorkshire Evening Post ,,23055,,POS,Print,Local ,
2021-11-09,Festival offers chance to find joy in life again ,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-11-09,The role technology will play in Leeds' year of culture in 2023,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2021-11-09,"Column - Matt Allen, role of tech",,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-11-13,Hello Leeds -  Leeds 2023 - Abigail James,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2021-11-13,Hello Leeds - Culture Scene column ,,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local ,
2021-11-13,,,Yorkshire Evening Post ,,23055.0,,,Print ,Local,
2021-11-13,,,yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-11-13,Hello Leeds - Culture Scene column,,Yorkshire Evening Post ,,23055,,POS,Print ,Local ,
2021-11-13,Spinning new career with textiles to bring communities together ,,Yorkshire Evening Post ,,23055.0,,,Print,Local,
2021-11-14,Meet Guiseley artist working with LEEDS 2023 to create yarns inspired by Remembrance Sunday,,yorkshireeveningpost.co.uk,,302055.0,,,Online ,Online,
2021-11-14,Curtains raise for Pudsey theatre company as it premieres first post-lockdown performance,,yorkshireeveningpost.co.uk,,302055.0,,,Online ,Online,
2021-11-14, Artist working with LEEDS 2023 to create yarns inspired by Remembrance Sunday,,yorkshireeveningpost.co.uk,,302040,,POS,Online ,Local ,
2021-11-14,Pudsey theatre company as it premieres first post-lockdown performance,,yorkshireeveningpost.co.uk,,302040,,POS,Online ,Local ,
2021-11-19,Why Leeds is Britain's most underrated city break,,telegraph.co.uk,,24886000,,POS,Online,National ,
2021-11-19,Leeds Grand Theatre and Leeds Playhouse benefit from funding ,,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-11-19,Leeds Grand Theatre and Leeds Playhouse benefit from Government's Culture Recovery Fund,,yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-11-20,Lottery windfall for city's cultural projects ,,Yorksire Evening Post ,,23055.0,,,Print,Local,
2021-11-20,Making the experience for Leeds audiences an extraordinary one ,,Yorkshire Evening Post,,23055.0,,,Print ,Local,
2021-11-20,Column - Experiences for Audiences ,,Yorkshire Evening Post,,23005,,POS,Print ,Local,
2021-11-20,Hello Leeds - Lottery Funding ,,Yorksire Evening Post ,,23005,,POS,Print,Local ,
2021-11-21,National Heritage Lottery funding will help LEEDS 2023 tell stories ,,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-11-21,Meet the woman making sure audiences have fun in Leeds,,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-11-21,National Heritage Lottery funding will help LEEDS 2023 tell the city's undiscovered and eclectic stories,,yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-11-21,Meet the woman making sure audiences have fun in Leeds,,yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-11-24,A new Chair for LEEDS 2023 as Gabby Logan joins the team,,topicuk.co.uk,,,,POS,Online ,Regional ,
2021-11-24,kully thiarai the arts sector has failed to build back better ,,the stage,,,,,Pdf ,,
2021-11-25,South Leeds Stories - Leeds 2023,,South Leeds Life,,5280,,POS,Print,Local,
2021-11-25,Gabby Logan to promote city's communities ,,Yorkshire Evening Post ,,23055,,POS,Print,Local ,
2021-11-25,Logan and Blake join LEEDS 2023 team,,artsprofessional.co.uk,,27174,,POS,Online,Trade,
2021-11-25,New chairman hired for Leeds 2023,,thebusinessdesk.com,,170000,,POS,Online ,Regional,
2021-11-25,GABBY LOGAN NAMED LEEDS 2023 CHAIR,,insidermedia.com,,10250,,POS,Online ,Regional,
2021-11-25,Gabby Logan announced as new chair for Leeds 2023,,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-11-25,Gabby Logan vows to promote city's communities in new roles ,,Yorkshire Evening Post ,,23055.0,,,Print,Local,
2021-11-25,Gabby Logan announced as new chair for Leeds 2023,,yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-11-27,Column - Global Issues Through Art,,Yorkshire Evening Post ,,23005,,POS,Print ,Local,
2021-11-27,Hello Leeds - Rivers of Light,,Yorkshire Evening Post ,,23005,,POS,Print,Local,
2021-11-27,Fired up to shed light on climate emergancy ,,Yorkshire Evening Post ,,23055.0,,,Print,Local,
2021-11-27,Culture and technology can look at the worlds biggest problems ,,Yorkshire Evening Post ,,23055.0,,,Print ,Local,
2021-11-28,Hello Leeds - Rivers of Light,,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-12-04,"Column - Boris Cruse, Paul Digby",,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2021-12-04,Hello Leeds - author Jacqueline Golding,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2021-12-05,Hello Leeds - author Jacqueline Golding,,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-12-06,Column - Ben Walmsley,,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2021-12-06,Column - Ben Walmsley,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-12-09,Leeds' first 'Age Proud' festival encouraging older people to meet friends and take up hobbies again after COVID isolation,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2021-12-18,Column - Highrise project,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-12-18,Hello Leeds - Skippko Arts,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2021-12-31,Jamie Jones-Buchanan honoured to close special chapter with an MBE,,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local ,
2021-12-31,Jamie Jones-Buchanan humbled as Leeds Rhinos legend awarded MBE,,leeds-live.co.uk,,3870,,POS,Online ,Local ,
2022-01-01,Hello Leeds - Kuala Lumpur for Leeds 2023,,Yorkshire Evening Post ,,23055,,POS,Print ,Local,
2022-01-01,Leeds Rhinos icon on the 'massive honour' of being awarded the MBE,,skysports.com,," 10,528,080",,POS,Online,National ,
2022-01-03,Hello Leeds - Baroness Judith Blake ,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-01-03,Monthly Column - Thinking out loud ,,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local ,
2022-01-08,Hello Leeds - Tech for the public good ,,Yorkshire Evening Post,,23055,,POS,Print ,Local ,
2022-01-08,"Hello Leeds - Letting Culture Loose, TFTPG",,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local ,
2022-01-15,"Hello Leeds - M62 Unite communities, Ben Cottrell",,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-01-15,Hello Leeds - Rolling Social ,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-01-16,"Hello Leeds - Letting Culture Loose, Ben Cottrell",,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local ,
2022-01-19,Wetherby and stories from around the town are being called for as part of a major project.,,harrogateadvertiser.co.uk,,13992,,POS,Online ,Local ,
2022-01-20,1m funding secured for LEEDS 2023,,insidermedia.com,,10250,,POS,Online,Regional ,
2022-01-20,LEEDS 2023 SECURES £1M BACKING,,insidermedia.com,,10250,,POS,Online ,Regional ,
2022-01-20,£1m funding secured for city’s one-year celebration of culture,,thebusinessdesk.com,,228780,,POS,Online ,Regional ,
2022-01-20,1m funding secured for LEEDS 2023,,yorkshirebusinessdaily.co.uk,,5430,,POS,Online,Regional,
2022-01-22,Joelle on a mission to bring music to a new generation ,,Yorkshire Evening Post  ,,23055,,POS,Print,Local,
2022-01-22,Hazel Millichamp - Light on Leeds Podcast ,,The Yorkshire Post ,,23055,,POS,Print,Local,
2022-01-24,Let's get behind LEEDS 2023,,Yorkshirepost.co.uk,,567120,,POS,Online,Local,
2022-01-24,Let's get behind Leeds 2023,,Yorkshirepost.co.uk,,567120,,POS,Online,Local,
2022-01-25,Breakfast Show ,,BBC Radio Leeds ,,196000,,POS,Broadcast ,Regional ,
2022-01-25,Leeds landmarks showcased in new film,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2022-01-25,Breakfast Show ,,BBC Radio Leeds ,,196000,,POS,Broadcast ,Regional ,
2022-01-25,Why LEEDS 2023 Will Be Great for Us & Even Better For the City,,leeds-list.com,,43560,,POS,Online,Local,
2022-01-25,Parkour champion counts down to Year of Culture,,southleedslife.com,,5280,,POS,Online,Local,
2022-01-25,Major partners join LEEDS 2023,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2022-01-25,Major partners join LEEDS 2023,,Yorkshire Post,,23055,,POS,Print,Local,
2022-01-25,"Martin Freeman on The Responder and Cultural Levelling Up
Front Row",,BBC Radio 4 - Front Row ,,2200000,,POS,Broadcast ,National ,
2022-01-25,Celebration of the region’s arts and culture,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2022-01-25,Drive time show,,BBC Radio Leeds ,,196000,,POS,Broadcast ,Regional ,
2022-01-26,Cultural festival partners announced as excitement builds for year-long event,,The Yorkshire Post ,,23055,,POS,Print,Local,
2022-01-26,Countdown is on to a celebration of creativity and ambition ,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-01-27,Lighthouse tribute is dropped ,,The Yorkshire Post ,,23055,,POS,Print,Local,
2022-01-27,New partners for Leeds 2023,,artsprofessional.co.uk,,15090,,POS,Online ,Trade,
2022-01-27,Gabby Logan- Growing older gracefully ,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-01-29,Corrie star helping put kids on road to fame ,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-01-29,Parkour champ David becomes a silver screen star,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-01-30,Why parkour champion David Nelmes is proud to be part of LEEDS 2023,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2022-02-01,Leeds 2023 announces creative partners for year of culture,,museumassociation.org ,,34650,,POS,Online ,trade,
2022-02-03,MP’s Notebook: Year of Culture,,southleedslife.com,,5280,,POS,Online,Local,
2022-02-04,John and Elizabeth Godber: Ruby and the Vinyl ,,The Yorkshire Post ,,21817,,POS,Print,Local,
2022-02-04,So much to offer and be proud of - Gabby Logan,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-02-05,Ntantu joins Leeds 2023 'OneYearToGo' Film Project ,,Yorkshire Eveninig Post ,,23055,,POS,Print,Local,
2022-02-05,"Yorkshire Life Aquatic - We Are Bramley, Acts of Defiance ",,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-02-06,Local rapper joins 'One Year To Go',,Yorkshireeveningpost.co.uk,,302040,,POS,Online ,Local,
2022-02-09,LEEDS 2023: levelling up in action,,Arts Professional ,,,,POS,Online ,Trade,
2022-02-12,"Amy Letman, creative director of 'Transform' on changing the cultural legacy  ",,Yorkshire Evenning Post ,,23055,,POS,Print,Local,
2022-02-12,Harnessing the power of music - and sport ,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-02-17,Creative Director at LEEDS 2023 talks on McCann Leeds podcast ,,prolificnorth.co.uk,,70000,,POS,Online ,Regional ,
2022-02-19,Eileen Agar's Angel of Anarchy ,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-02-19,Artist Ellie and her journey with grief - Leeds 2023 art exhibition,,Yorkshire Evening Post,,23055,,POS,Print ,Local,
2022-02-20,Ellie Harrison explores grief in Leeds 2023 art exhibition ,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2022-02-21,Access to the arts 'more vital than ever' - Culture minister says ,,Yorkshirepost.co.uk,,567120,,POS,Online,Local,
2022-02-21,Importance of arts ,,The Yorkshire Post ,,23055,,POS,Print,Local,
2022-02-21,Arts 'are more vital than ever' - Pandemic recovery ,,The Yorkshire Post ,,23055,,POS,Print,Local,
2022-02-22,Higher education lends support to LEEDS 2023,,artsprofessional.co.uk,,27174,,POS,Online ,Trade ,
2022-02-22,Leeds 2023 - ‘acts of defiance’ in Bramley,,westleedsdispatch.com,," 1,140",,POS,Online,Local,
2022-02-23,Leeds council tax to rise by maximum amount as more cuts planned alongside 211 new jobs,,leeds-live.co.uk,,55680,,POS,Online,Local,
2022-02-23,EDUCATION INSTITUTIONS BACK LEEDS 2023,,insidermedia.com,,9083,,POS,Online ,Regional ,
2022-02-24,Leeds City Council budget 2022: Council tax to increase by 2.99 per cent and £16m service cuts,,Yorkshireeveningpost.co.uk,,302040,,POS,Online ,Local,
2022-02-24,"Leeds council budget passed – 2.99 per cent council tax increases, £16m in cuts",,westleedsdispatch.com,,1140,,POS,Online,Local,
2022-02-25,Council Tax in Leeds to rise by 2.99 per cent - and £16m of service cuts to be made,,thetelegraphandargus.co.uk,,10671,,POS,Online,Local,
2022-02-26,Mafwa Theatre - MWMCMN,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2022-02-26,Northern Ballet,,Yorksire Evening Post ,,23055,,POS,Print,Local,
2022-02-26,Mafwa Theatre - MWMCMN,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2022-03-01,"Our aim is to put Leeds on the cultural map and make it one of the top cities in the world to live in, work and visit'",,Estates Gazette ,,20889,,POS,Print,National ,
2022-03-05,Carriageworks hosts a bohemian rhapsody ,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2022-03-05,Exploring the heritage of diverse and vibrant Beeston ,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-03-07,Lets celebrate the role that young people play - Kully Thiarai,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-03-07,Leeds 2023 chief executive Kully Thiarai - 'Let’s celebrate the role that young people have to play in our city',,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2022-03-09,Yorkshire Life Aquatic Bramley pair celebrate LEEDS 2023 for 'helping to shine a light' on city's artists,,Yorkshireeveningpost.co.uk,,302040,,POS,Online ,Local,
2022-03-13,Yorkshire theatre company working with sanctuary seekers in Hunslet to create art together,,Yorkshireeveningpost.co.uk,,302040,,POS,Online ,Local,
2022-03-13,Celebration and friendship for all those who call hunslet home ,,Yorkshire Evening Post,,23055,,POS,Print ,Local ,
2022-03-17,‘We Are Bramley’ art work unveiled in Bramley Park,,westleedsdispatch.com,,1140,,POS,Online,Local,
2022-03-19,Our community is so much more than a route in and out of the city ,,Yorkshire Evening Post,,23055,,POS,Print ,Local,
2022-03-20,Local artists open up creative toolbox to explore Meanwood commuter routes,,Yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2022-03-26,Talented Ben is putting smiles on faces with the art of noise ,,Yorkshire Evening Post,,23055,,POS,Print ,Local,
2022-03-27,Orchestra of Objects founder working with LEEDS 2023 to develop exciting new school partnership,,Yorkshireeveningpost.co.uk,,302040,,POS,Online ,Local ,
2022-04-02,Sharing the stories of the people and places that make city unique ,,Yorkshire Evening post ,,23055,,POS,Print ,Local ,
2022-04-02,Mid morning show with Liz Green ,,BBC Radio Leeds ,,196000,,POS,Broadcast ,Regional ,
2022-04-03,Farsley poet 'telling the incredible stories of ordinary people',,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2022-04-04,"Whatever your passion, we'll shout about it ",,Yorkshire Evening post ,,23055,,POS,Print ,Local ,
2022-04-04,Leeds 2023 team wants to celebrate all forms of culture,,yorkshireeveningpost.co.uk,,302040,,POS,Online,Local,
2022-04-05,Event brings the hidden stories of Farsley and Pudsey alive,,westleedsdispatch.com,,1140,,POS,Online,Local,
2022-04-08,The ministry of fun ,,BBC Radio 4 ,,10754000,,POS,Broadcast ,National,
2022-04-09,Leeds based perfromance ensemble is a theatre compnay dedicated to telling the stories of older people. Yvetter Huddleston talks to founder Alan Lyddiniard ,,Yorkshire post ,,21801.0,,,Print ,Regional,
2022-04-10,Leeds 2023 will display city's culture to world ,,Yorkshire Evening Post,,23055.0,,,Print,Local,
2022-04-10,Best places to live 2022,,The Sunday Times ,,647622,,POS,Print ,National ,
2022-04-13,Artist Ben Mills aims to find ‘common thread’ that brings community together,,West Leeds Dispatch,,1140,,POS,Online ,Local,
2022-04-16,CHICAGO at Leeds Grand Theatre ,,Yorkshire Evening Post ,,23055,,POS,Print ,Local,
2022-04-16,There's so much more to work of Slung Low than just theatre ,,Yorkshire Evening Post ,,23055,,POS,Print ,Local,
2022-04-17,Leeds 2023: Slung Low theatre director talks running Covid lockdown food bank in Holbeck,,Yorskhire Evening Post ,,311316,,POS,Online ,Local ,
2022-04-23,Unltimate 'indie bedroom artist' heading to Leeds,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2022-04-23,Tapping into technology to help people share their own stories ,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2022-04-24,Adam Skowronski is a Creative Technologist at LEEDS 2023 and believes we can all use digital technology to be more creative,,yorkshireeveningpost.co.uk,,311316,,POS,Online,Local,
2022-04-25,Art stars prove doubters wrong ,,The Yorkshire Post ,,23055,,POS,Print,Regional ,
2022-04-25,How two Yorkshire women are challenging race and class stigmas and stereotypes that still exist in the world of arts and culture,,Yorkshirepost.co.uk,,567120,,POS,Online,Local,
2022-04-30,Tom heads to Hyde Park for acoustic set ,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2022-04-30,Teachers helping children to create their own ripping yarns,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2022-05-02,We can't wait to meet you as we hit the road,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-05-02,Leeds 2023 roadshows begin as city counts down to its year of culture - Lee Brennan,,yorkshireeveningpost.co.uk,,311316,,POS,Online,Local,
2022-05-07,Volunteer to share love for Leeds and its incredible communities ,,Yorkshire Evening Post,,23055,,POS,Print ,Local,
2022-05-14,Search is on for hosts with the most who love their community ,,Yorkshire Evening Post ,,23055,,POS,Print,Local ,
2022-05-15,Leeds 2023 looking to recruit person from each of city's 33 wards to become a Neighbourhood Host for year of culture,,Yorkshire Evening Post ,,23055,,POS,Online ,Local ,
2022-05-16,Farsley art event brings community together,,westleedsdispatch.com,,1140,,POS,Online ,Local,
2022-05-17,My Gurus: Be the change you want to see,,artsprofessional.co.uk,,27174,,POS,Online ,Trade ,
2022-05-17,Walk captures ‘acts of defiance’ in Bramley,,westleedsdispatch.com,,1140,,POS,Online ,Local ,
2022-05-18,Shockas 'voice of the North' Kay Mellor dies,,Yorkshire  post ,,21817,,NEU,Print ,Regional ,
2022-05-21,Celebrating the diversity and sounds of our multi-cultural city ,,Yorkshire Evening Post ,,23055,,POS,Print ,Local ,
2022-05-21,Mill towns proud rise to city of culture bid ,,Daily Express,,251737,,POS,Print ,National ,
2022-05-22,Poet and videographer combine to celebrate look and sound of the city for Leeds 2023,,Yorkshire Evenning Post ,,23055,,POS,Print,Local,
2022-05-24,Dance company hits out at union in row over anniversary lay-offs,,Yorkshire Post,,36512,,NEU,Print ,Regional ,
2022-05-28,Putting unsung heroes of leeds music scene in the spotlight ,,Yorkshire Evening Post ,,23055,,POS,Print ,Local,
2022-05-29,'An integral part of life': Music producer at Leeds 2023 looking to shine a light on city's musicians,,yorkshireeveningpost.co.uk,,311316,,POS,Online ,Local,
2022-06-01,Leeds sends message of congratulations as Bradford is named UK City of Culture 2025,,News Anyway ,,N/A ,,POS,Online ,International ,
2022-06-04,Bringing the joy of jazz to leeds for first family riendly festival ,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-06-05,First Jazz festival coming to Leeds this June as city gears up for Leeds 2023 year of culture celebrations,,yorkshireeveningpost.co.uk,,311316,,POS,Online ,Local,
2022-06-06,Broadcaster and former Leeds United footballer Sanchez Payne on the talent waiting to be discovered during Leeds 2023 year of culture,,yorkshireeveningpost.co.uk,,311316,,POS,Online ,Local,
2022-06-06,So much talent waiting to be discovered ,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-06-08,Councillors issue video calls for all Outer West community meetings,,westleedsdispatch.com,,1140,,NEU,Online ,Local,
2022-06-11,Ensuring young people's voices are heard right across the city,,Yorkshire Evening Post,,23055,,POS,Print,Local ,
2022-06-11,New hub opens as a lifeline for community,,Yorkshireeveningpost.co.uk,,302055.0,,,Online,Online,
2022-06-12,Youth Voice Manager promises young people will be at the heart of Leeds 2023 year of culture,,yorkshireeveningpost.co.uk,,21817,,POS,Online ,Regional ,
2022-06-14, 'Culture could help to drive a tourism boom',,Yorkshire Post ,,21817,,POS,Print ,Regional ,
2022-06-14,"Bradford City of Culture 2025 and Leeds 2023 can drive West Yorkshire tourism boom, suggests Tracy Brabin",,yorkshireeveningpost.co.uk,,311316,,POS,Online ,Local ,
2022-06-15,"What city might host Eurovision 2023? After receiving an offer from the BBC, Glasgow or Manchester are expected to host the event.",,Technotrenz.com,,6600,,NEU,Online,International ,
2022-06-15,Council chiefs set to back new tribute to David Oluwale,,newsanyway.com,,"51,000 ",,POS,Online ,National ,
2022-06-16,Design Week Awards 2022 – the shortlist in full,,designweek.co.uk,,200000,,NEU,Online ,National ,
2022-06-17,Eurovision 2023: Leeds Expresses Interest in Hosting Eurovision,,eurovoix.com,,"103,350 ",,NEU,Online,International ,
2022-06-17,"So, Where In The UK Could Eurovision 2023 Be Held – And How Much Would It Cost?",,huffingtonpost.co.uk,," 584,040",,NEU,Online ,National ,
2022-06-17,London 'ready to step up' and host Eurovision 2023 as British cities race to pitch for the event,,itv.com,,2758260,,NEU,Online ,National ,
2022-06-17,Leeds to bid to host Eurovision Song Contest 2023 at the First Direct Arena in honour of Ukraine,,yorkshireeveningpost.co.uk,,311316,,POS,Online,Local,
2022-06-18,Making a difference now - and for the future with theatre project ,,Yorkshire Evening Post ,,23055,,POS,Print,Local,
2022-06-18,Where could Eurovision 2023 be held? Glasgow or Manchester tipped to host contest after offer to BBC,,inews.co.uk,,7300000,,NEU,Online ,National,
2022-06-18,Can Leeds really land Eurovision ,,Yorkshire Evening Post ,,23055,,NEU,Print,Local,
2022-06-18,Soap opera: Michelle cleans up with new business venture ,,Yorkshire Evening Post ,,23055,,NEU,Print,Local,
2022-06-19,Leeds 2023 working with Mafwa Theatre to create green spaces for local refugees to enjoy art and nature,,yorkshireeveningpost.co.uk,,311316,,Popular,Online,Local,
2022-06-19,Which British cities have shown interest in hosting Eurovision 2023?,,escunited.com,,74340,,NEU,Online ,National,
2022-06-21,Leeds 2023 roadshow comes to Pudsey House,,westleedsdispatch.com,,1140,,POS,Online,Local,
2022-06-22,Eurovision 2023: Leeds is vying to host the competition,,esctoday.com,,145560,,POS,Online,National,
2022-06-25,"Transforming Seacroft with music, food, sport and stories ",,Yorkshire Evening Post ,,23055,,POS,Print ,Local,
2022-06-26,LEEDS 2023: How community groups are turning Seacroft into a hive of activism and art,,yorkshireeveningpost.co.uk,,311316,,POS,Online,Local,
2022-06-27,Leeds 2023 Roadshow comes to Old Farnley Community Centre,,westleedsdispatch.com,,1140,,POS,Online,Local,
2022-06-28,£2.1m awarded to bring Leeds’ heritage stories to life,,bdaily.co.uk,,126000,,POS,Online,National,
2022-06-28,Channel 4 opens 25 creative career opportunities for disadvantaged young people in Leeds and Manchester,,Channel 4,,,,POS,Online,National ,
2022-06-28,Emmerdale’s 50th anniversary could tie into Leeds 2023 cultural celebrations,,yorkshirepost.co.uk,,567120,,POS,Online,Regional,
2022-06-29,City council wants to bring Eurovision 2023 to Leeds,,escxtra.com,,74340,,POS,Online,National,
2022-06-29,Leeds doesn’t exist!’: Councillor unhappy with city’s absence from weather forecast maps,,TelegraphandArgus.co.uk,,74441,,NEG,Online ,Local ,
2022-06-29,Channel 4 to create jobs for disadvantaged young people in Leeds,,Yorkshire Post ,,,,POS,Online ,Regional ,
2022-06-29,Channel 4 offering fully paid content creation opportunities for young people in Leeds,,Yorkshire Evening Post ,,311316,,POS,Online,Local,
2022-06-29,Leeds to get 'crucial' multi-million pound investment in 2023 that will leave a 'lasting legacy' of history and hidden stories,,leeds-live.co.uk,,55680,,POS,Online ,Local,
2022-06-29,Leeds 2023 awarded over £2 million in National Lottery fund support for year of culture and heritage,,Yorkshireeveningpost.co.uk,,311316,,POS,Online,Local,
2022-06-29,LEEDS 2023 SECURES £2.1M IN LOTTERY FUNDING,,insidermedia.com,,10250,,POS,Online,Regional,
2022-06-29,National Lottery funding puts ‘heritage at the heart’ of six projects with £13.7m funding,,advisor.museumsandheritage.com,,6757,,POS,Online ,Trade ,
2022-06-29,Emmerdale’s 50th anniversary could tie into Leeds cultural celebrations,,westleedsdispatch.com,,1140,,POS,Online,Local,
2022-06-29,Culture link with soap milestone ,,Yorkshire Evening Post,,23055,,POS,Print,Local,
2022-06-29,Culture link with soap milestone ,,Yorkshire Evening Post ,,36512,,NEU,Print ,Local,
2022-06-29,The National Lottery awards £2.1m funding to Leeds 2023,,prolificnorth.co.uk,,70000,,POS,Online,Regional ,
