news_date,news_headline,outlet_name,audience_reach,uv,tone,medium,outlet_type,custom_tags,news_company_mentions,hash
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 07:24:47.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,1069185137840347970
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 09:40:40.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,13046224497026036078
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 10:07:41.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds City of Culture,3499920778591156668
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 11:36:12.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds City of Culture; The Awakening,14019307359489980264
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 12:18:44.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,17650410708694959796
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 12:29:19.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,,459597432506865337
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 12:44:29.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds City of Culture,1341872277787674160
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 12:50:28.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,13537710395857887502
2022-09-26,Radio clip from BBC Leeds at 2022-09-26 16:19:11.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,8881122446023442929
2022-09-26,Radio clip from BBC Sheffield at 2022-09-25 19:02:30.000,BBC Radio Sheffield,75000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,11809360198642712134
2022-09-26,Radio clip from BBC Sheffield at 2022-09-25 19:17:36.000,BBC Radio Sheffield,75000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,7986574383421146992
2022-09-27,Eurovision 2023: Update expected on host shortlist,BBC News Online,0.0,24207801,POS,Online,"Online, consumer",National,,16773507050145660170
2022-09-27,LEEDS 2023 opening show- enter the ticket ballot!,Doinggoodleeds.org,0.0,,POS,Online,"Online, consumer",,Leeds 2023; The Awakening,14765854567743791688
2022-09-27,Leeds is officially out of the running for Eurovision Song Contest 2023,"Hoot, The",0.0,5000,POS,Online,"Online, consumer",National,,10994337204885639676
2022-09-27,Leeds ruled out of race to host Eurovision 2023 as two cities shortlisted,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,0.0,237450,POS,Online,"Online, consumer",Local,Leeds 2023,2914389887802805524
2022-09-27,Radio clip from BBC Jersey at 2022-09-27 09:19:19.000,BBC Radio Jersey,10000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,9348486372804517267
2022-09-27,Radio clip from BBC Jersey at 2022-09-27 10:30:16.000,BBC Radio Jersey,10000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,8358827542763771569
2022-09-27,Radio clip from BBC Leeds at 2022-09-26 19:05:43.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,,14424386319870679616
2022-09-27,Radio clip from BBC Leeds at 2022-09-26 19:41:41.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,17730547485425963592
2022-09-27,Radio clip from BBC Leeds at 2022-09-27 07:08:38.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,5228153255302841843
2022-09-27,Radio clip from BBC Leeds at 2022-09-27 07:51:38.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,9121972570806968173
2022-09-27,Radio clip from BBC Leeds at 2022-09-27 09:53:14.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,10295198736576810428
2022-09-27,Update expected on host shortlist,BBC News Online,0.0,24207801,POS,Online,"Online, consumer",National,,160877187953957630
2022-09-27,White Rose Shopping Centre Archives,South Leeds Life,0.0,1687,POS,Online,"Online, consumer",Local,Leeds 2023,9566265814949194895
2022-09-28,Eurovision bid fails for Leeds,Yorkshire Evening Post,36512.0,,POS,Newspaper,"Newspaper, community",Local,Leeds 2023,17570985250664231621
2022-09-28,Leeds 2023 programme revealed,ArtsProfessional,0.0,13218,POS,Online,"Online, consumer",National,Leeds 2023; The Awakening,17543452470517018218
2022-09-28,eNews 28 September,Forstaff main index,0.0,,POS,Online,"Online, consumer",Local,Leeds 2023,13302887829968210996
2022-09-29,24 Big Changes in the Pipeline for Leeds,Leeds-List.com,0.0,27124,POS,Online,"Online, consumer",Local,Leeds 2023,16754835935943904180
2022-09-29,Gabby Logan's favourite Yorkshire view,hertfordshire.greatbritishlife.co.uk,0.0,500,POS,Online,"Online, consumer",Regional,Leeds 2023,14158792410979498700
2022-09-29,Get creative to win tickets to The Awakening,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,0.0,237450,POS,Online,"Online, consumer",Local,Leeds 2023; The Awakening,17818072284769718835
2022-09-29,Get creative to win tickets to The Awakening,"Yorkshire Post - yorkshirepost.co.uk, The",0.0,256221,POS,Online,"Online, consumer",Regional,Leeds 2023; The Awakening,15321480006517837628
2022-10-01,Leeds Art Gallery's Landmark Exhibition,Yorkshire Reporter Online,0.0,939,POS,Online,"Online, consumer",Regional,Leeds 2023,3067689796192352819
2022-10-01,Leeds Art Gallery’s landmark exhibition puts city’s artists in the frame,Asian Voice,18000.0,,POS,Newspaper,"Newspaper, community",,Leeds 2023,9729376238394202376
2022-10-02,Gabby Logan's favourite Yorkshire view,Devon Life (Online),0.0,11673,POS,Online,"Online, consumer",Regional,Leeds 2023,9921181956569483324
2022-10-02,Rugby League World Cup: Cultural Festival volunteer performers wanted,ManchesterWorld,0.0,106069,POS,Online,"Online, consumer",Regional,Leeds 2023,794922985272541883
2022-10-02,Rugby League World Cup: Cultural Festival volunteer performers wanted,Newcastle World,0.0,,POS,Online,"Online, consumer",Regional,Leeds 2023,13169998285886249351
2022-10-02,Rugby League World Cup: Cultural Festival volunteer performers wanted,Sheffield Star,0.0,134423,POS,Online,"Online, consumer",Regional,Leeds 2023,18407432574503118353
2022-10-02,Rugby League World Cup: Cultural Festival volunteer performers wanted,Usa Jaun News,0.0,,POS,Online,"Online, consumer",,Leeds 2023,16434613587491923877
2022-10-02,Rugby League World Cup: Cultural Festival volunteer performers wanted,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,0.0,237450,POS,Online,"Online, consumer",Local,Leeds 2023,5294294674395678313
2022-10-02,Rugby League World Cup: Cultural Festival volunteer performers wanted,"Yorkshire Post - yorkshirepost.co.uk, The",0.0,256221,POS,Online,"Online, consumer",Regional,Leeds 2023,17436256755865753434
2022-10-02,"The Jamaica Society Leeds reveals ""Out of Many Lit"" programme",Repeating Islands,0.0,,POS,Online,"Blog, consumer",International,Leeds 2023,9166061144823730905
2022-10-05,LEEDS 2023 breaks down inclusion barriers to arts and culture with user-centred design,24HTECH,0.0,43253,NEU,Online,"Online, consumer",,Leeds 2023,16737470552215016264
2022-10-05,LEEDS 2023 breaks down inclusion barriers to arts and culture with user-centred design,North East Connected,0.0,30524,NEU,Online,"Online, consumer",Regional,Leeds 2023,10077698660637016674
2022-10-05,LEEDS 2023 breaks down inclusion barriers to arts and culture with user-centred design,Vietname Explorer,0.0,204240,NEU,Online,"Online, consumer",,Leeds 2023,1635674890313350702
2022-10-05,LEEDS 2023 breaks down inclusion barriers to arts and culture with user-centred design -,UK Tech News,0.0,5000,NEU,Online,"Online, consumer",,Leeds 2023,17659203822557115086
2022-10-06,Bruntwood named headline sponsor,"Yorkshire Post, The",21817.0,,POS,Newspaper,"Newspaper, community",Regional,Leeds 2023,7510774090958751858
2022-10-06,Contact at 50: the Manchester theatre that is a beacon for young people,"Stage, The",9489.0,,POS,Magazine,"Magazine, consumer",,Leeds 2023,10078916366480445613
2022-10-07,'Police had said they are perfectly legal': Birdbox disguised as a speed camera spotted on Meanwood Road,Head Topics,0.0,,POS,Online,"Online, consumer",,Leeds 2023,18261321944513733738
2022-10-07,Artists install bird box disguised as a speed camera on Yorkshire street with 30mph limit,"Yorkshire Post - yorkshirepost.co.uk, The",0.0,256221,NEU,Online,"Online, consumer",Regional,Leeds 2023,4311081448516252636
2022-10-07,Relighting community bonfire nights,South Leeds Life,0.0,1687,NEU,Online,"Online, consumer",,Leeds 2023,918590451642548993
2022-10-07,Volunteering in Leeds,"Gryphon - www.thegryphon.co.uk, The",0.0,12178,POS,Online,"Online, consumer",,Leeds 2023,16210434958232118712
2022-10-08,'Speed camera' puts brakes on drivers,Yorkshire Evening Post,36512.0,,NEU,Newspaper,"Newspaper, community",,Leeds 2023,2726040638506708659
2022-10-08,Birdbox disguised as a speed camera spotted on Meanwood Road,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,0.0,237450,NEU,Online,"Online, consumer",,Leeds 2023,4095208317136791183
2022-10-11,Volunteering in Leeds - The Gryphon,"Gryphon - www.thegryphon.co.uk, The",0.0,12178,POS,Online,"Online, consumer",,Leeds 2023,6065367232920249622
2022-10-13,RLWC Cultural Festival | The Power of Performance: This is Us,HAPPENINGNEXT,0.0,,POS,Online,"Online, consumer",,Leeds 2023,14588904324804025029
2022-10-13,Yorkshire: The UK's County of Culture,"Gryphon - www.thegryphon.co.uk, The",0.0,12178,NEU,Online,"Online, consumer",,Leeds 2023; The Awakening,17083125998762319299
2022-10-14,"Investing in sport and culture can transform Yorkshire's economy, Turner & Townsend roundtable is told","Yorkshire Post - yorkshirepost.co.uk, The",0.0,256221,POS,Online,"Online, consumer",,Leeds 2023,12718218620629742799
2022-10-17,Chef Liz Cottam shares inspiration as spectacular Headingley Stadium event tickets up for grabs,Head Topics,0.0,,NEU,Online,"Online, consumer",,Leeds 2023; The Awakening,5429767254807438111
2022-10-17,Chef Liz Cottam shares inspiration as spectacular Headingley Stadium event tickets up for grabs,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,0.0,237450,POS,Online,"Online, consumer",,Leeds 2023; Leeds 2023 tickets; Leeds ticket ballot; The Awakening,18048243089761983101
2022-11-18,Bramley band 'gives youths something to belong to',West Leeds Dispatch,0.0,3141,NEU,Online,,,Leeds City of Culture,937154870763081233
2022-11-18,Here are the new acts announced for the Leeds2023 opening ceremony at Headingley Stadium,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,0.0,237450,POS,Online,,,Leeds 2023; The Awakening,16838271600422451314
2022-11-18,Leeds construction activity soars to highest level in 15 years,Construction Enquirer,0.0,59211,POS,Online,,,Leeds 2023,706925833754951722
2022-11-18,RLWC Cultural Festival | The Power of Performance: This is Us,HAPPENINGNEXT,0.0,,POS,Online,,,Leeds 2023,528275789648148394
2022-11-18,What the TV presenter Gabby Logan loves about Yorkshire,hertfordshire.greatbritishlife.co.uk,0.0,500,POS,Online,,,Leeds 2023; The Awakening,12427650042550029827
2022-11-19,FIVE REASONS WHY LEEDS &amp; YORKSHIRE SHOULD BE ON YOUR INVESTMENT RADAR,Business Daily Media,0.0,960,POS,Online,,,Leeds 2023,9965726889834417037
2022-11-21,New acts ready for Leeds 2023,Yorkshire Evening Post,36512.0,,POS,Newspaper,,,Leeds 2023; The Awakening,16897598352207632849
2022-11-21,New exhibition explores Brutalist architecture,University of Leeds,492369.0,,POS,Online,,,Leeds 2023,6079762522277142155
2022-11-22,Drop off your Leeds 2023 artwork at these West Leeds locations,West Leeds Dispatch,0.0,3141,NEU,Online,,,Leeds 2023; The Awakening,15988724750456331851
2022-11-22,Inner South Youth Summit 2022,South Leeds Life,0.0,1687,POS,Online,,,Leeds 2023,10904101968174185051
2022-11-23,Leeds Breeds Good Seeds - The Leeds Music Scene,Leeds Homepage - Leeds Discover the real Leeds.,0.0,,POS,Online,,,Leeds City of Culture,16645262762490086308
2022-11-24,Drop off your Leeds 2023 artwork at these West Leeds locations,West Leeds Dispatch,0.0,3141,POS,Online,,,Leeds 2023; The Awakening,17118661905248318436
2022-11-24,KPMG Leeds Expands Partner Group As It Continues Growth In Region,"Yorkshire Times, The",0.0,5564,POS,Online,,,Leeds 2023,5887015268336434385
2022-11-24,KPMG Leeds expands partner group,Insider Media,0.0,91697,POS,Online,,,Leeds 2023,12268565581325532386
2022-11-24,Radio clip from BBC Leeds at 2022-11-23 19:12:31.000,BBC Radio Leeds,78000.0,,POS,Broadcast,,,Leeds 2023; The Awakening,4606019633367909022
2022-11-24,Radio clip from BBC Leeds at 2022-11-23 19:17:35.000,BBC Radio Leeds,78000.0,,POS,Broadcast,,,Leeds 2023; The Awakening,2668864093523171828
2022-11-24,Radio clip from BBC Leeds at 2022-11-23 19:35:00.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,,,Leeds 2023; The Awakening,11698591169230953162
2022-11-24,Radio clip from BBC Leeds at 2022-11-23 21:27:36.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,,,Leeds 2023; The Awakening,15692525190161789677
2022-11-24,Youth has say on democracy,Yorkshire Evening Post,36512.0,,POS,Newspaper,,,Leeds 2023,15153829863788755033
2022-11-26,ARTS DIARY,"Yorkshire Post, The",21817.0,,POS,Newspaper,,Regional,Leeds 2023; The Awakening,7909353675232274976
2022-11-28,Dawn Butler MP and Rachna Sundaram Join National Youth Theatre Board Of Trustees,Broadway World,0.0,467374,POS,Online,,International,Leeds 2023,7808432682346080538
2022-11-28,Dawn Butler MP and Rachna Sundaram join National Youth Theatre Board of Trustees,Theatre Weekly,0.0,3312,POS,Online,,Trade,Leeds 2023,7162795384603286707
2022-11-29,Bird box resembling speed camera found dumped in undergrowth near Meanwood Beck,Head Topics,0.0,,POS,Online,,International,Leeds 2023,10369402854147358431
2022-11-29,Bird box resembling speed camera found dumped in undergrowth near Meanwood Beck,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,0.0,237450,POS,Online,,Local,Leeds 2023,6895755237874925245
2022-11-29,"Leeds 2023 kicks off on 7 January with 'The Awakening', a live show at Headingley Stadium. Among the performances will be rapper Ntantu, backed by a 20-piece Gospel choir as they perform 'Tomorrow'.",MSN UK,0.0,63510000,NEU,Online,,Trade,Leeds 2023; The Awakening,1897837620089224098
2022-11-29,Opinion: Farsley set for its best year in 2023?,West Leeds Dispatch,0.0,3141,POS,Online,,Local,Leeds 2023,13100719960410507307
2022-11-30,Best destinations in the UK for 2023 named,Besttraveltale,0.0,,POS,Online,,International,,12951473941292379679
2022-11-30,Best destinations in the UK for 2023 named,Daily Express - express.co.uk,0.0,10338157,POS,Online,,National,,1786993846962998471
2022-11-30,Best destinations in the UK for 2023 named,Newslanes,0.0,,POS,Online,,International,,13437234590209714495
2022-11-30,Best destinations in the UK for 2023 named,TechiAzi,0.0,,POS,Online,,International,,4748911104832612009
2022-11-30,Bird box 'speed camera' uprooted and dumped,Yorkshire Evening Post,36512.0,,POS,Newspaper,,Local,Leeds 2023,8830806805172658712
2022-11-30,Leading Outdoor Arts Specialists Without Walls Announce Partnership With LEEDS 2023 And Programme Highlights,Broadway World,0.0,467374,POS,Online,,International,Leeds 2023,12483947318962014516
2022-11-30,Leeds 2023 to partner with outdoor arts consortium Without Walls,"Stage - thestage.co.uk, The",0.0,77594,POS,Online,,National,Leeds 2023,3687707518203100472
2022-11-30,Radio clip from BBC Leeds at 2022-11-30 06:37:20.000,BBC Radio Leeds,78000.0,,POS,Broadcast,,Regional,Leeds 2023,15392096045672669551
2022-11-30,Radio clip from BBC Leeds at 2022-11-30 06:53:45.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,,Regional,Leeds 2023,13928395827405111726
2022-11-30,Scottish destination named one of the best places to travel in 2023 - 'thrilling&amp;#039;,Vietname Explorer,0.0,204240,POS,Online,,International,,12293882304185829891
2022-11-30,Scottish destination named one of the best places to travel in 2023 - 'thrilling',Usatodaypost,0.0,,POS,Online,,International,,11678114135140954549
2022-11-30,Staycation inspiration as full list of best places to travel in 2023 named,Pedfire,0.0,24364,POS,Online,,International,,4115787253365480851
2022-11-30,Staycation inspiration as full list of best places to travel in 2023 named,Samachar Central,0.0,8095,POS,Online,,International,,3951174996174255295
2022-12-01,"CGIs reveal new look for ""much safer and cleaner"" City Square in Leeds",Bdaily,0.0,39592,POS,Online,,Trade,Leeds 2023,6332094457386330523
2022-12-01,City Square: Visuals of completed highways scheme released,Leeds City Council News - News,0.0,,POS,Online,,Local,Leeds 2023,15854040946408588220
2022-12-01,City Square: Visuals of completed highways scheme released - Harrogate Informer,Harrogate News,0.0,8776,POS,Online,,Local,Leeds 2023,5404811976080486595
2022-12-01,Leeds city square: what it will look like on completion,Topic UK,0.0,,NEU,Online,,Regional,Leeds 2023,8340246056079464607
2022-12-01,New CGI images offer first look at design for pedestrianised Leeds City Square gateway 'The Glade',Yorkshire Evening Post - Yorkshireeveningpost.co.uk,0.0,237450,NEU,Online,,Local,Leeds 2023,17352313249120800262
2022-12-02,Leeds City Square transformation plan in photos after months of roadworks,Leeds Live,0.0,220262,NEU,Online,,Local,Leeds 2023,1673684821139425337
2022-12-02,Leeds City Square transformation plan in photos after months of roadworks,Leeds Live,0.0,220262,NEU,Online,,Local,Leeds 2023,1673684821139425337
2022-12-02,Long-term benefits promised as city gateway is transformed,TheBusinessDesk.com - TheBusinessDesk.com (Yorkshire),0.0,43802,POS,Online,,Regional; Trade,Leeds 2023,11393060951703721509
2022-12-02,New Images Unveiled Of City Square In Leeds,Timber in Construction - Online,0.0,40983,POS,Online,,National; Trade,Leeds 2023,3199774719071181204
2022-12-02,Radio clip from Times Radio at 2022-12-02 15:50:04.000,Times Radio,0.0,,NEU,Broadcast,,National,Leeds 2023,9280612201450178786
2022-12-02,Radio clip from Times Radio at 2022-12-02 15:55:04.000,Times Radio,0.0,,NEU,Broadcast,,National,Leeds 2023,7924755775049527384
2022-12-02,The Rough Guide to the best travel destinations in 2023,Rough Guides,0.0,212587,POS,Online,,International; National,Leeds 2023,6267836001471373383
2022-12-02,The Rough Guide to the best travel destinations in 2023,Rough Guides,0.0,212587,POS,Online,,International,Leeds 2023,6267836001471373383
2022-12-03,Singers recording Ntantu's track Tomorrow which will be part of The Awakening at the launch of Leeds 2023,MSN UK,0.0,63510000,NEU,Online,,National,Leeds 2023; The Awakening,14139902669855010072
2022-12-05,"2023. Leeds Beckett University, a Principal Education Partner of LEEDS 2023, will host the event on Friday, 24th February",Record of the Day,0.0,3702,POS,Online,,,Leeds 2023,9401077196314921676
2022-12-05,In the studio with rapper Ntantu as Leeds 2023 announces its ticket ballot results,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,0.0,237450,POS,Online,,Local,Leeds 2023; The Awakening,761583655408137961
2022-12-05,Luxury fashion brand Burberry partners with LEEDS 2023 to celebrate year of culture,"Yorkshire Post - yorkshirepost.co.uk, The",0.0,256221,POS,Online,,Regional,Leeds 2023; The Awakening,909914023954111793
2022-12-05,Yorkshire Has Made It Into Condé Nast's 13 Best Places To Visit In The UK For 2023,News Central Site,0.0,,POS,Online,,International,,5145203909498522169
2022-12-06,Bectu signs MoU to ensure fair wages and working conditions at LEEDS 2023,Broadcasting Entertainment Cinematograph and Theatre Union (BECTU) - Online,0.0,14298,POS,Online,,,Leeds 2023,15300267787447589941
2022-12-06,Burberry links with Leeds 2023 to celebrate culture in West Yorkshire,Fashion Network Hong Kong,0.0,518,POS,Online,,International,Leeds 2023,8661458454202354055
2022-12-06,Burberry links with Leeds 2023 to celebrate culture in West Yorkshire,FashionNetwork (PH),0.0,,POS,Online,,International,Leeds 2023,3718326023015520614
2022-12-06,Burberry links with Leeds 2023 to celebrate culture in West Yorkshire,Fashionnetwork (NL),0.0,5000,POS,Online,,International,Leeds 2023,1523176848038837648
2022-12-06,Burberry teams up with Leeds to celebrate year of culture,Fashion United (NZ),0.0,274,POS,Online,,International,Leeds 2023,16063417751234611225
2022-12-06,Burberry teams up with Leeds to celebrate year of culture,FashionUnited,0.0,46814,POS,Online,,International,Leeds 2023,17098979622903922852
2022-12-06,Burberry teams up with Leeds to celebrate year of culture,FashionUnited - United Kingdom,0.0,73367,POS,Online,,National,Leeds 2023,9662666561262690141
2022-12-06,Burberry teams up with Leeds to celebrate year of culture,Fashionunited.in,0.0,5084,POS,Online,,International,Leeds 2023,7558870851955600790
2022-12-06,Burberry teams up with Leeds to celebrate year of culture,Glam Touch,0.0,486,POS,Online,,International,Leeds 2023,10300690126820784485
2022-12-06,Burberry teams up with Leeds to celebrate year of culture,Pour Elles,0.0,166,POS,Online,,International,Leeds 2023,13539796789439438737
2022-12-06,Burberry teams up with Leeds to celebrate year of culture,Top Fash,0.0,226,POS,Online,,International,Leeds 2023,12071417471882117645
2022-12-06,Burberry teams up with Leeds to celebrate year of culture,fashionunited.info,0.0,2344,POS,Online,,International,Leeds 2023,245016604033651516
2022-12-06,Burberry to partner City of Culture events,"Yorkshire Post, The",21817.0,,POS,Newspaper,,Regional,Leeds 2023; The Awakening,16470121477230380848
2022-12-06,Launchpad and PRS Foundation announce a joint 2023 Talent Development Conference,Record of the Day,0.0,3702,POS,Online,,,Leeds 2023,8980740085951314522
2022-12-06,Launchpad and PRS Foundation announce joint Talent Development Conference,m-magazine.co.uk,0.0,500,POS,Online,,,Leeds 2023,14234352482415760988
2022-12-06,Leeds 2023 opening show ballot results,Yorkshire Evening Post,36512.0,,POS,Newspaper,,Local,Leeds 2023; The Awakening,1349080950652008134
2022-12-06,Leeds 2023 signs fair pay agreement with creative unions,"Stage - thestage.co.uk, The",0.0,77594,POS,Online,,National,Leeds 2023,15315807207144212491
2022-12-06,Leeds 2023 signs fair pay union agreement,ArtsProfessional,0.0,13218,NEU,Online,,National; Trade,Leeds 2023,1710969671746909498
2022-12-06,Leeds Culture Trust signs union agreement,ArtsProfessional,0.0,13218,NEU,Online,,National; Trade,Leeds 2023,10351898533653999132
2022-12-06,Six-figure boost for Leeds 2023 creative education scheme,Yorkshire Evening Post,36512.0,,POS,Newspaper,,Local,Leeds 2023; The Awakening,15272060216468262195
2022-12-07,Burberry celebrates community with Leeds,Fashionating World,0.0,3887,POS,Online,,International,Leeds 2023; The Awakening,7280034216610680365
2022-12-07,Burberry links with Leeds 2023 to celebrate culture in West Yorkshire,Ae Fashionnetwork,0.0,690,POS,Online,,International,Leeds 2023,16693705017523544373
2022-12-07,Burberry links with Leeds 2023 to celebrate culture in West Yorkshire,Fashion Jobs,0.0,500,POS,Online,,International,Leeds 2023,14297976913155405440
2022-12-07,Burberry links with Leeds 2023 to celebrate culture in West Yorkshire,Fashion Network (SE),0.0,5000,POS,Online,,International,Leeds 2023,4907089312141234213
2022-12-07,Burberry links with Leeds 2023 to celebrate culture in West Yorkshire,Fashion Network (UK),0.0,21993,POS,Online,,,Leeds 2023,1731344959810142511
2022-12-07,Burberry links with Leeds 2023 to celebrate culture in West Yorkshire,Fashion Network Australia,0.0,334,POS,Online,,International,Leeds 2023,2227142661632196696
2022-12-07,Burberry links with Leeds 2023 to celebrate culture in West Yorkshire,FashionNetwork - Singapore,0.0,152,POS,Online,,International,Leeds 2023,9853414176114430934
2022-12-07,Burberry links with Leeds 2023 to celebrate culture in West Yorkshire,News - FashionNetwork.com Egypt,0.0,,POS,Online,,International,Leeds 2023,16591602533236978438
2022-12-07,Burberry links with Leeds 2023 to celebrate culture in West Yorkshire,News - FashionNetwork.com Israel,0.0,,POS,Online,,International,Leeds 2023,5512773437352343803
2022-12-07,Burberry to partner City of Culture events,Yorkshire Evening Post,36512.0,,POS,Newspaper,,Local,Leeds 2023; The Awakening,8589640807603038490
2022-12-07,LEEDS 2023 – CEO Kully Thiarai: 'The Awakening' show will light a torch of creativity for the year ahead,Asian Culture Vulture,0.0,1602,POS,Online,,,Leeds 2023; The Awakening,13720907223458246023
2022-12-07,Partnerschaft mit LEEDS 2023,Fashion Today,0.0,1762,NEU,Online,,International,Leeds 2023,13927651055994351042
2022-12-08,Burberry renforce sa position dans la culture et l'éducation.,JOURNAL DU LUXE,0.0,20124,NEU,Online,,International,Leeds 2023; The Awakening,18148566023043218550
2022-12-08,Burberry strengthens its position in culture and education.,Archynetys.com,0.0,161,POS,Online,,International,Leeds 2023; The Awakening,3830548353312355374
2022-12-09,Radio clip from BBC Leeds at 2022-12-09 07:30:01.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,,Regional,Leeds 2023; The Awakening,11883203378178866216
2022-12-09,Radio clip from BBC Leeds at 2022-12-09 07:40:03.000,BBC Radio Leeds,78000.0,,POS,Broadcast,,Regional,Leeds 2023; The Awakening,17718498909647284718
2022-12-12,GOLDBERG VARIATIONS Comes to Leeds in March 2023,Broadway World,0.0,467374,POS,Online,,International,Leeds 2023,3870110510048697801
2022-12-13,'Magnificent' British city named best destination for 2023,Besttraveltale,0.0,,NEU,Online,,International,The Awakening,15669992317826208568
2022-12-13,'Magnificent' British city named best destination for 2023,Daily Express - express.co.uk,0.0,10338157,NEU,Online,,National,The Awakening,12560891386941571552
2022-12-13,'Magnificent' British city named best destination for 2023,Newslanes,0.0,,POS,Online,,International,The Awakening,13843328096806456728
2022-12-13,'Magnificent' British city named one of the best destinations for 2023 - it's not London,Usatodaypost,0.0,,POS,Online,,International,The Awakening,4685432007535791335
2022-12-13,'Magnificent' British city named one of the best destinations for 2023 - it's not London,Vietname Explorer,0.0,204240,NEU,Online,,International,The Awakening,16555662027789210414
2022-12-13,Leeds is one of the top ten 'best travel destinations in 2023',"Hoot, The",0.0,5000,POS,Online,,National,,4002294274142110095
2022-12-15,Radio clip from BBC Leeds at 2022-12-14 19:07:10.000,BBC Radio Leeds,78000.0,,POS,Broadcast,,Regional,The Awakening,12768614203523340890
2022-12-16,LEEDS 2023 programme takes aim at delegate experiences,Meetings & Incentive Travel,0.0,1325,POS,Online,,National,Leeds 2023; The Awakening,5536078519626592321
2022-12-16,LEEDS 2023 programme takes aim at delegate experiences,Meetings & Incentive Travel,0.0,1325,,,"Online, consumer",,Leeds 2023; The Awakening,5536078519626592321
2022-12-16,Leeds is set to be the beating heart of UK culture in 2023,Topic UK,0.0,,,,"Online, consumer",,Leeds 2023; Leeds Year Of Culture; The Awakening,16397919318575326536
2022-12-16,Leeds is set to be the beating heart of UK culture in 2023,Yorkshire Business Woman,0.0,,,,"Online, consumer",,Leeds 2023; Leeds Year Of Culture; The Awakening,6080534320940441276
2022-12-16,Radio clip from BBC Leeds at 2022-12-15 21:38:05.000,BBC Radio Leeds,78000.0,,POS,Broadcast,,Regional,Leeds 2023,14667488888096245784
2022-12-16,Radio clip from BBC Leeds at 2022-12-15 21:38:05.000,BBC Radio Leeds,78000.0,,,,Radio station,,Leeds 2023,14667488888096245784
2022-12-16,Solberg reveals Skoda WRC2 programme for 2023,Auto Breaking News,0.0,381,,,"Online, consumer",,Leeds 2023,4367451086317101879
2022-12-17,"Farsley: £1,150 raised and huge food haul donated in festive food bank drive",West Leeds Dispatch,0.0,3141,,,"Online, consumer",,Leeds 2023,4640236213476177469
2022-12-21,Radio clip from BBC Leeds at 2022-12-21 07:48:12.000,BBC Radio Leeds,78000.0,,,,Radio station,,The Awakening,6057795704978330806
2022-12-21,Radio clip from BBC Leeds at 2022-12-21 07:53:13.000,BBC Radio Leeds,78000.0,,,,Radio station,,Leeds 2023,15751920535109217826
2022-12-21,Radio clip from BBC Leeds at 2022-12-21 07:58:14.000,BBC Radio Leeds,78000.0,,,,Radio station,,The Awakening,3947764060873757545
2022-12-23,Radio clip from BBC Radio 4 at 2022-12-22 19:55:53.000,BBC Radio 4,3280000.0,,,,Radio network,,Leeds 2023,3665038511801305029
2023-01-01,LEEDING LIGHT,Hospitality & Events North,15000.0,,,,"Magazine, consumer",,Leeds 2023; The Awakening,16291960301476981027
